sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag
709965,1130306,13,tõmbama,,all,Vilsandi,Vilsandile,"Kuigi Norrköpingi lähedal saarel on kalurist isast jäänud suvekodu , tõmbas siiski Vilsandile .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
265424,419095,2,rõõmustama,,el,mis,millest,"... millest kõigest , niipea kui see meie armsatele ja truudele alamatele , s. o. nimetatud aleviku ehk väikese linna pürjermeistritele , raehärradele ja lihtkodanikkudele teatavaks sai  [  ...  ]  , nemad kõige kõrgemal määral rõõmustasid  [ Ma loodan , te märkate , kui  unisono  see kõlab kõigi meie poolt vahepealsel poolelsajal aastal laulupidudel ja muil pidudel lauldud lojaalsuslauludega !",,,,,no,no,no,no,no,no,no,
1585112,2521697,10,lahutama,,el,allkiri,allkirjadest,"Veel eelmise linnavalitsuse ajal , aasta tagasi lahutas lepingut allkirjadest vaid nädal või paar .",,,,,no,no,no,yes,no,yes,no,L
6601769,10623242,13,lahutama,,el,neid,neiust,""" Nõidkütt "" on lugu jahiõnne kaotanud laskurist , keda lahutab armastatud neiust laske-võistlus , mille võitmiseks mees saatanalt võlukuule hangib .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
15317061,23915903,7,viskama,,all,kaptenisild,kaptenisillale,Näiteks kui sa viskad mingi suitsupommi kaptenisillale .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L
6528539,10501724,8,tulistama,,el,tankitõrjerelv,tankitõrjerelvadest,Kallaletungijad tulistasid Baladi linna lähedal liikunud patrulli tankitõrjerelvadest .,,,,,no,no,no,yes,no,yes,no,L
588569,932733,6,hukkuma,,el,politseinik,politseinikust,"Vastavalt seadusele saavad vanemad hukkunud politseinikust poja kaotuse eest kompensatsiooni tema kümne aasta palga ulatuses , mis on enam kui pool miljonit krooni .",,,,,yes,no,no,no,no,no,no,A
5728202,9186876,7,moodustama,,all,suurtehing,suurtehingule,Hansapanga aktsia käive moodustas tänu ühele suurtehingule kaks kolmandikku börsi kogukäibest .,,,,,no,yes,no,no,no,no,no,E
3110616,4995288,3,võitma,,all,kreeklane,kreeklastele,Eile võitis kreeklastele kulla naiste 20 kilomeetri käimises suurüllataja Athanasia Tsoumelaka ja hõbeda naiste kolmik-hüppes Olga Vasdeki .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
7160424,11518272,6,väljenduma,,in,heietamine,heietamises,Tavaliselt väljendub see lõpututes mälestuste heietamises .,,,,,no,no,no,no,no,no,no,
