sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,simple_sentences_gpt4o,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag,initial_cat,verb_head_same_sent,head_verbi_alluv
14196515,22569505,4,nentima,,in,tagamesi,tagamees,"New York Knicksi tagamees Jamal Crawford nentis ajalehele New York Post , et gay-korvpallur oleks omapärane .","['New York Knicksi tagamees on Jamal Crawford.', 'Jamal Crawford nentis ajalehele New York Post, et gay-korvpallur oleks omapärane.']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,e
8382028,13431809,12,jaguma,,in,sobivus,sobivuses,"Mäletan , et filmi valmimisjärgus jagus palju kahtlejaid Julia Ormondi nimiossa sobivuses .","['Mäletan filmi valmimisjärku.', 'Filmi valmimisjärgus jagus palju kahtlejaid.', 'Kahtlejad kahtlesid Julia Ormondi nimiossa sobivuses.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,y,e
3179660,5106367,4,kasvama,,adit,laienemisvoor,laienemisvooru,"Pärast 2004. aasta laienemisvooru kasvas Saksamaa eksport aastaga 56,2 miljardilt eurolt 64 miljardi euroni ning import 55 , 5 miljardilt eurolt 59 miljardi euroni , selgub Saksa tööturu ja elukutseuuringute instituudi uurimusest .","['2004. aasta laienemisvoor toimus.', 'Pärast 2004. aasta laienemisvooru kasvas Saksamaa eksport aastaga 56,2 miljardilt eurolt 64 miljardi euroni.', 'Pärast 2004. aasta laienemisvooru kasvas Saksamaa import aastaga 55,5 miljardilt eurolt 59 miljardi euroni.', 'See selgub Saksa tööturu ja elukutseuuringute instituudi uurimusest.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
11434534,18321933,4,nälgima,,in,remondijärk,remondijärgus,Tema nälgis oma remondijärgus luksuskorteris Tallinna südalinnas ( vaatega Estonia teatrile ) .,"['Tema nälgis oma luksuskorteris.', 'Korter oli remondijärgus.', 'Korter asus Tallinna südalinnas.', 'Korterist avanes vaade Estonia teatrile.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,n,y
19490415,29142778,9,meeldima,,in,eurolaug,eurolaus,kelly-liis: aga tegelt kuidas teie meie uus eurolaus meeldis .... ????,"['kelly-liis küsib, kuidas meile uus eurolaus meeldis.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
16205166,25109211,31,sätestama,,ad,üldjuht,üldjuhul,"19. niivõrd kui liikmesriigid seaduse või haldusmeetmetega sätestavad edasimüüja ainuõiguslikule ostukohustusele sama kehtivusaja ülemmäära , nagu on käesolevas määruses sätestatud teenindusjaamakokkulepetele , kuid seavad selle sõltuvusse tarnijapoolsest vastutasust või sätestavad üldjuhul käesolevas määruses lubatust lühema kehtivusaja , siis sellised seadused või meetmed ei ole vastuolus käesoleva määruse eesmärkidega , mis selles suhtes seab kehtivusaja ülempiiri üksnes teenindusjaamakokkulepetele ; selliste siseriiklike seaduste ja meetmete kohaldamist ning jõustamist tuleb seetõttu käsitleda käesoleva määruse sätetele vastavana ;","['Liikmesriigid võivad seaduse või haldusmeetmetega sätestada edasimüüja ainuõiguslikule ostukohustusele sama kehtivusaja ülemmäära, nagu on sätestatud teenindusjaamakokkulepetele.', 'Liikmesriigid võivad seada selle sõltuvusse tarnijapoolsest vastutasust.', 'Liikmesriigid võivad sätestada üldjuhul käesolevas määruses lubatust lühema kehtivusaja.', 'Sellised seadused või meetmed ei ole vastuolus käesoleva määruse eesmärkidega.', 'Käesolev määrus seab kehtivusaja ülempiiri üksnes teenindusjaamakokkulepetele.', 'Selliste siseriiklike seaduste ja meetmete kohaldamist tuleb käsitleda käesoleva määruse sätetele vastavana.', 'Selliste siseriiklike seaduste ja meetmete jõustamist tuleb käsitleda käesoleva määruse sätetele vastavana.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
13905485,22175377,11,pesema,,ad,temperatuur,temperatuuril,"Et sokid sisaldavad nailonit ja elastaani , pesen neid 65kraadisel temperatuuril .","['Sokid sisaldavad nailonit.', 'Sokid sisaldavad elastaani.', 'Ma pesen sokke 65-kraadisel temperatuuril.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
15983761,24854353,1,hakkama,,el,Netskaabakas,Netskaabakast,"Netskaabakast ei hakka ma isegi rääkima , IMHO on too viimane saast .","['Ma ei hakka Netskaabakast rääkima.', 'IMHO järgi on Netskaabakas viimane saast.']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,e
6658520,10714082,18,leidma,,abl,kompanii,kompaniilt,"Kalmistu ülevaataja Wayne Bloomquist oli päris üllatunud , kui leidis tema surnuaeda maetud inimese nimele tulnud telefoniarve kompaniilt Sprint .","['Kalmistu ülevaataja on Wayne Bloomquist.', 'Wayne Bloomquist leidis telefoniarve.', 'Telefoniarve oli saadetud tema surnuaeda maetud inimese nimele.', 'Telefoniarve tuli kompaniilt Sprint.', 'Wayne Bloomquist oli päris üllatunud.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,,no,no,no,no,no,no,no,,elt_n80_as,n,y
15078520,23604634,7,helistama,,el,naine,naisest,Siis on veel mingi lõik vanast naisest kes helistab politseisse ja kurdab vanilla ninja kontserdi üle.,"['Vanast naisest on mingi lõik.', 'Vana naine helistab politseisse.', 'Vana naine kurdab Vanilla Ninja kontserdi üle.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,elt_n80_as,n,e
