sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,opinion,simple_sentences,simple_sentences_gpt4o,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag,initial_cat,verb_head_same_sent,head_verbi_alluv
5399131,8658564,1,katsuma,,all,kõrbetaim,Kõrbetaimedele,"Kõrbetaimedele katsu leida korteri kõige valgem koht , hämarate vihmametsade asukad aga ei pea olema isegi mitte aknalaual .",,,"['Kõrbetaimedele tuleb leida korteri kõige valgem koht.', 'Hämarate vihmametsade asukad ei pea olema isegi mitte aknalaual.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
15270292,23846411,2,õhkuma,,el,PR-pude,PR-pudemetest,"Nendest PR-pudemetest õhkub sellist jõulisust ja suursugusust , et ” Siberi habemeajaja ” muutus sündmuseks veel enne ekraanidele jõudmist .",,,"['Nendest PR-pudemetest õhkub jõulisust.', 'Nendest PR-pudemetest õhkub suursugusust.', 'Film ""Siberi habemeajaja"" muutus sündmuseks veel enne ekraanidele jõudmist.']",,,,,no,no,no,no,no,no,no,,a_n50,,
15331149,23942314,6,ennustama,,all,netifoorum,netifoorumitele,mingit tehnilist hüpet ma küll netifoorumitele ei ennusta .,,,['Ma ei ennusta netifoorumitele mingit tehnilist hüpet.'],,,,,no,no,no,no,yes,yes,no,L,a_n50,,
12437255,19912298,5,suurenema,,all,palk,palgale,"Sellega suurenes nende tähelepanu palgale , mis töö tegelikku intensiivsust ja tulemuslikkust arvestades pole kuigi palju madalam erasektori keskastme töötaja palgast .",,,"['Nende tähelepanu palgale suurenes.', 'Palk ei ole töö tegelikku intensiivsust ja tulemuslikkust arvestades kuigi palju madalam erasektori keskastme töötaja palgast.']",,,,,no,no,no,no,no,no,no,,a_n50,,
3753353,6044920,2,pöörduma,,all,lend,lennule,Järgmisele lennule pöördub lennuk Tallinnast Kopenhaageni suunas .,,,"['Lennuk pöördub järgmisele lennule.', 'Lennuk suundub Tallinnast Kopenhaagenisse.']",,,,,no,yes,no,no,no,no,no,E,a_n50,,
10076363,16164075,8,kuuluma,,adit,arheosoikumine,arheosoikumisse,"Aga sellisena kuulub ta sisuliselt eesti huumori arheosoikumisse , kuhugi samasse rubriiki “ Meelejahutaja ” , “ Rameto ” ja Pikriga , kus profiiti võisid lõigata naljad stiilis “ gastrolleestlane - kastruleestlane ” .",,,"['Ta kuulub sisuliselt eesti huumori arheosoikumisse.', 'Ta kuulub samasse rubriiki ""Meelejahutaja"", ""Rameto"" ja Pikriga.', 'Selles rubriigis võisid profiiti lõigata naljad stiilis ""gastrolleestlane - kastruleestlane"".']",,,,,no,no,yes,no,no,no,no,T,a_n50,,
7961192,12762542,13,moodustuma,,el,tsemenditolm,tsemenditolmust,"Valada sellesse loginal pöörlevasse astjasse vett , kuni kõik seguneb , sinisest tsemenditolmust ja kollasest liivast hall kört moodustub .",,,"['Sellesse loginal pöörlevasse astjasse tuleb valada vett.', 'Kõik seguneb.', 'Sinisest tsemenditolmust ja kollasest liivast moodustub hall kört.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
12729759,20365595,3,tahtma,,all,Salatoimik,Salatoimikutele,"Tahtsin « Salatoimikutele » kriipsu peale tõmmata juba enne , kui see tegelikult lõppes , » paristab Anderson oma kodus Londonis Notting Hilli trendirajoonis .",,,"['Anderson tahtis ""Salatoimikutele"" kriipsu peale tõmmata juba enne, kui see tegelikult lõppes.', 'Anderson paristab seda oma kodus Londonis Notting Hilli trendirajoonis.']",,,,,no,no,no,no,yes,yes,no,L,a_n50,,
17034415,26180081,7,pidama,,el,Ventspils,Ventspilsist,Roeder pidas Levadiat Newcastle'i eelmisest vastasest Ventspilsist tugevamaks .,,,"[""Roeder pidas Levadiat tugevamaks kui Newcastle'i eelmine vastane Ventspils.""]",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50,,
4233828,6813632,7,alistuma,,all,šveitslane,šveitslastele,"Murs-Lulla alistusid napilt 1 : 2 šveitslastele Andreas Sutter - Jonas Weingart , Jaani-Ruul jäid kindlalt 0 : 2 alla Tšehhi paarile Michal Biza - Premysl Kubala .",,,"['Murs-Lulla alistusid šveitslastele Andreas Sutterile ja Jonas Weingartile napilt 1 : 2.', 'Jaani-Ruul jäid kindlalt 0 : 2 alla Tšehhi paarile Michal Biza ja Premysl Kubala.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
