sentence_id,sentence,word_form,start,end,current_deprel,current_case,current_analysis
14129180,"( 2 ) Kultuurkapitali nõukogu eraldab osa tuludest põhikapitali täiendamiseks , kusjuures nõukogu ei tohi põhikapitali vähendada .",nõukogu,22,29,nsubj,gen,"com,gen,sg"
5841441,"Kaheksast naisest ja neljast mehest koosnev vandekohtunike kogu arutas asja seitse päeva , enne kui Jacksoni õigeks mõistis .",Jacksoni,100,108,nsubj,gen,"gen,prop,sg"
1975046,""" Mul on pidevalt selline tunne , et olen ikka veel midagi võlgu , "" tunnistab Kristina .",Kristina,79,87,nsubj,gen,"gen,prop,sg"
12435560,"Streigi ärahoidmiseks ei aita enam ussi- ega püssirohi , sõnas Roosimaa veendunult .",ussi-,35,40,nsubj,gen,"com,gen,sg"
3725207,"Vastupidiselt Siitanile loodan ka , et noored arvustajad kontserdile minnes ei keskenduks edaspidi kontserdiagentuurile või mänedzheri isikule , vaid ikka muusikale , mis lavalt kõlab .",Siitanile,14,23,nsubj,gen,"gen,prop,sg"
16139489,"Eelnõu esitades olin veendunud , et kui Riigikogu selle heaks kiidab , ei satu me mingisse täbarasse situatsiooni .",Riigikogu,40,49,nsubj,gen,"com,gen,sg"
5067334,Depeche Mode alustas oma hiigeltuuri 17. aprillil Põhja-Ameerikas Quebeckis .,Depeche,0,7,nsubj,gen,"gen,prop,sg"
15338569,"Igatahes , soovitan inimestel aegajalt taevasse ka vahtida , seal näeb päris palju huvitavat .",huvitavat,83,92,nsubj,,"af,mod,pres,ps,quot"
373076,"Päikesemaa on lapsepõlvemaa , tähenduslikke nimesid on ka Sölve ( = Hõbe , kuid viitab ka Solveigile ) .",Solveigile,90,100,nsubj,gen,"gen,prop,sg"
735866,""" Kuid ma ei saanud keelduda , sest nägin nende suurt tahtmist , "" jätkas Levandi .",Levandi,74,81,nsubj,gen,"gen,prop,sg"
6669219,"Eile oli esimene päev , kui Piiroja üle pika aja tundis , et jalg on natuke parem , kuid seegi ei sisenda optimismi .",Piiroja,28,35,nsubj,gen,"com,gen,sg"
2077719,"Maailma kuulsa-ima klaverikontserdi esitab Lauri Väinmaa ja õhtu lõpetab sümfooniline pilt "" 1812 "" - loomulikult koos tulevärgiga .",Lauri,43,48,nsubj,gen,"gen,prop,sg"
19949013,+hamaric: dodge .. muig .. aga latiinole vaatan ka mina ja'rele .. no comments muidugi,mina,51,55,nsubj,gen,"com,gen,sg"
12870540,Maksu- ja tolliamet alustas juhtunu uurimiseks väärteomenetluse .,Maksu-,0,6,nsubj,gen,"com,gen,sg"
9495810,"Muide , Gorbatshovi ja Shevardnadzet tunnen juba 1955. aastast .",Gorbatshovi,8,19,nsubj,gen,"gen,prop,sg"
1318653,"Seaduseelnõu nägi ette loomade vastase julmuse keelustamise , nagu lemmikloomade söömine , loomade piinamine filmivõtetel , lemmikloomade nahast mütside ja kasukate tegemine ja näiteks loomade aknast välja viskamine .",Seaduseelnõu,0,12,nsubj,gen,"com,gen,sg"
8872107,Karja juhib tugevaim,Karja,0,5,nsubj,gen,"gen,prop,sg"
1563848,""" Suures Kanjonis seistes tuli tunne , et ümbruse on maalinud kunstnikukäsi , "" toob Kristina eksootilisest ebareaalsusest näite .",Kristina,85,93,nsubj,gen,"gen,prop,sg"
12376246,"Pärast aktsiakapitali laiendamist kuulub Kinnisvara Ekspressi aktsiatest 27% Talinvestile , 27% Forekspangale , 20% FMO-le , 10% Baltic Fundile ja ülejäänud väikeaktsionäridele .",Talinvestile,77,89,nsubj,gen,"gen,prop,sg"
42562,Ka Matis Toome eraelu nõuab oma .,oma,28,31,nsubj,gen,"gen,sg"
13780925,"Kas nende seas ka Poomi , näitab lähitulevik .",Poomi,18,23,nsubj,gen,"gen,prop,sg"
7082491,""" Koshsher on heebrea keeles toiduks lubatud , see tähendab , et on puhas ja sünnis , "" õpetas Lavrenti Pavlovitsh .",Lavrenti,95,103,nsubj,adit,"adit,prop,sg"
16226015,Suuski nurka Kristina ja Katrin mõistagi ei pane .,Kristina,13,21,nsubj,gen,"gen,prop,sg"
21275556,MUNA: ka nägijate oma valdan,oma,18,21,nsubj,gen,"gen,sg"
881453,"Adams lisas , et eeldatavalt võtab riigikogu maksupolitsei seaduse vastu veel sellel aastal .",riigikogu,35,44,nsubj,gen,"com,gen,sg"
