,lemma,0,1,?,-
0,Nõugaste,0,1,0,0
1,turbaauk,0,1,0,0
2,lillepaviljon,0,1,0,0
3,transpordikomisjon,1,0,0,0
4,turismihooaeg,1,0,0,0
5,tsiviilvorm,1,0,0,0
6,villipubi,0,1,0,0
7,Svalbard,0,1,0,0
8,proua,1,0,0,0
9,rumm,1,0,0,0
10,aedik,0,1,0,0
11,sekretär,1,0,0,0
12,toosama,1,0,0,0
13,veevärk,1,0,0,0
14,ranne,1,0,0,0
15,kiire,1,0,0,0
16,luukontroll,1,0,0,0
17,kalastusvöönd,0,1,0,0
18,ristilöömine,1,0,0,0
19,ravikindlustusnõukogu,1,0,0,0
20,keep,1,0,0,0
21,Lembit,1,0,0,0
22,revüüteater,0,1,0,0
23,fonoteek,1,0,0,0
24,Varasem,1,0,0,0
25,KaksPoissiTallinn,0,0,0,1
26,arhitektuuriinstituut,0,0,1,0
27,inlite,0,0,0,1
28,vangistusülem,1,0,0,0
29,uhu,0,0,0,1
30,advokaadibüroo,0,0,1,0
31,masšuud,0,0,0,1
32,töökäsi,1,0,0,0
33,puiatu,0,1,0,0
34,Sopot,0,1,0,0
35,P70,0,0,0,1
36,7000rpm,0,0,0,1
37,nägemiskontroll,1,0,0,0
38,Hebroni,0,1,0,0
39,dopinguäri,1,0,0,0
40,potilill,0,1,0,0
41,shamaanipaar,1,0,0,0
42,aastapäevanäitus,1,0,0,0
43,kaitsepolitseiamet,1,0,0,0
44,telefoniputka,0,1,0,0
45,jooksutund,1,0,0,0
46,õhtune,1,0,0,0
47,stamp,1,0,0,0
48,mudel,1,0,0,0
49,kurus,0,1,0,0
50,ribi,1,0,0,0
51,Darwin,1,0,0,0
52,ususeminar,1,0,0,0
53,modelliamet,1,0,0,0
54,maailm,0,1,0,0
55,kalarand,0,1,0,0
56,soomaa,0,1,0,0
57,lumelaud,0,1,0,0
58,papademo,0,0,0,1
59,luure,1,0,0,0
60,veefestival,1,0,0,0
61,taimima,1,0,0,0
62,alavesi,1,0,0,0
63,järgmine,1,0,0,0
64,VAAP,0,0,0,1
65,metsasügavus,0,1,0,0
66,läbiotsimine,1,0,0,0
67,ametitool,1,0,0,0
68,kaVenemaa,0,0,0,1
69,Nagano-võistkond,1,0,0,0
70,kohtla-järv,0,1,0,0
71,missugune,1,0,0,0
72,latter,0,1,0,0
73,finantseerimine,1,0,0,0
74,kabinetiistung,1,0,0,0
75,näevi,0,0,0,1
76,läbirääkimi,0,0,0,1
77,leivatootmine,1,0,0,0
78,kruupink,0,1,0,0
79,Kansas,0,1,0,0
80,sünd,1,0,0,0
81,valitsemiskuu,1,0,0,0
82,teoloogiaseminar,1,0,0,0
83,härrasrahvas,1,0,0,0
84,soosaar,0,1,0,0
85,parlament,1,0,0,0
86,kilja,0,0,0,1
87,pasteerim,0,0,0,1
88,kassaruum,0,1,0,0
89,Firenighti,0,0,0,1
90,ravimine,1,0,0,0
91,linnarahvas,1,0,0,0
92,videomakk,0,1,0,0
93,messikeskus,0,1,0,0
94,puue,1,0,0,0
95,kukke,1,0,0,0
96,taevaskoda,0,1,0,0
97,modem,0,1,0,0
98,ID,0,0,0,1
99,tuur,1,0,0,0
100,põhivorm,1,0,0,0
101,peasaal,0,1,0,0
102,zoloogia,1,0,0,0
103,biokeskus,0,1,0,0
104,sõjaretk,1,0,0,0
105,ravivõimlem,0,0,0,1
106,kuulirahe,1,0,0,0
107,muuseumiöö,1,0,0,0
108,jääpank,0,1,0,0
109,Williams,1,0,0,0
110,taastamine,1,0,0,0
111,element,1,0,0,0
112,vaegarenguala,0,1,0,0
113,lihas,1,0,0,0
114,spagaat,1,0,0,0
115,politseiaed,0,1,0,0
116,tlns,0,0,0,1
117,heliagedus,0,0,0,1
118,vokaalstuudio,1,0,0,0
119,võõrusetendus,1,0,0,0
120,arvutimonitor,0,1,0,0
121,ootepink,0,1,0,0
122,mihklikuu,1,0,0,0
123,moenädal,1,0,0,0
124,tantsumaraton,1,0,0,0
125,rahvusooper,1,0,0,0
126,luurekeskus,1,0,0,0
127,järvesuu,0,1,0,0
128,KHK,0,0,0,1
129,kambja,0,1,0,0
130,kontsaklõbin,1,0,0,0
131,jane,1,0,0,0
132,Laenutuspunkt,0,1,0,0
133,sisemaa,0,1,0,0
134,Toronto,0,1,0,0
135,ciel,0,0,0,1
136,Bråtveiti,1,0,0,0
137,talvepäev,1,0,0,0
138,küün,0,1,0,0
139,randmeoperatsioon,1,0,0,0
140,padaja,0,0,0,1
141,Saksa,1,0,0,0
142,näitlejatee,1,0,0,0
143,Surfer,1,0,0,0
144,motoüritus,1,0,0,0
145,meka,0,1,0,0
146,kahin,1,0,0,0
147,rahvuslikkus,1,0,0,0
148,Smuuli,0,1,0,0
149,vägivallaähvardus,1,0,0,0
150,protestimarss,1,0,0,0
151,60C,0,0,0,1
152,Leida,0,1,0,0
153,väljaõpe,1,0,0,0
154,estraadistuudio,1,0,0,0
155,lossikirik,0,1,0,0
156,lootusetus,1,0,0,0
157,olümpiahooaeg,1,0,0,0
158,Ehlvest,1,0,0,0
159,meditsiiniringkond,1,0,0,0
160,jääliustik,0,1,0,0
161,Halonen,1,0,0,0
162,kitsus,1,0,0,0
163,noorsoolikas,1,0,0,0
164,banaanivabariik,0,1,0,0
165,slaidiprojektor,0,1,0,0
166,Kozlov,1,0,0,0
167,estraadilava,0,1,0,0
168,jkodu,0,0,0,1
169,superseksikas,1,0,0,0
170,anatoomikum,0,1,0,0
171,semiootika,1,0,0,0
172,vuuk,0,1,0,0
173,presidendiaeg,1,0,0,0
174,tänavakivi,0,1,0,0
175,nyd,0,0,0,1
176,omavalitsusvalimine,1,0,0,0
177,konfliktikolle,1,0,0,0
178,metallilagu,1,0,0,0
179,elektrienergeetika,1,0,0,0
180,neitsi,1,0,0,0
181,jalakäijasild,0,1,0,0
182,tööriistatera,0,1,0,0
183,patarei,0,1,0,0
184,teave,1,0,0,0
185,mardipäev,1,0,0,0
186,saateansambel,1,0,0,0
187,äärejoon,0,1,0,0
188,paadinina,0,1,0,0
189,Lublino,0,1,0,0
190,turvaraja,0,0,0,1
191,vannitoauks,0,1,0,0
192,MTÜ,1,0,0,0
193,laevavrakk,0,1,0,0
194,kanada,0,1,0,0
195,A-kategooria,1,0,0,0
196,talasso,0,0,0,1
197,Ristna,0,1,0,0
198,maapind,0,1,0,0
199,eraelu,1,0,0,0
200,taliolümpia,1,0,0,0
201,peksmine,1,0,0,0
