sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
3300135,5305255,21,kahtlema,,in,koostöötahe,koostöötahtes,"TALLINN , 21. aprill ( EPLO ) - Riigikogu Keskerakonna fraktsiooni aseesimees ja erakonna juhatuse liige Ain Seppik kahtleb siseopositsionääride koostöötahtes .",,,,no,,no,no,no,no,no,UNK
5723806,9180161,19,vaevlema,,in,konkurents,konkurentsis,"Ei saa ju olla nii naiivne ja mõelda , et kasumile suunatud reisikorradusfirmad ja niigi kogu aeg kasvavas konkurentsis vaevlevad lennufirmad selle enda südameasjaks võtavad .",,,,no,,no,no,no,no,no,UNK
9407096,15105649,16,vaevlema,,in,stress,stressis,"Siis saaks neile selgemaks , miks on iive nii väike , miks vaevleb rahvas pidevas stressis , miks sagenevad suitsiidid ja kuritegevus .",,,,no,,no,no,no,no,no,UNK
6758994,10873757,6,süüdistama,,in,enamik,enamikus,"USA armee süüdistab neis surmades enamikus endist Iraagi diktaatorit Saddam Husseini toetavaid isikuid , kuid suureneb ka välisterroristide osalus neis aktides .",,,,no,"The phrase 'enamikus' does not describe a location but rather refers to a portion or majority, so it is not an adverbial of place ('no').",no,no,no,no,no,UNK
3130432,5027269,11,süüdistama,,in,evimatus,evimatuses,"Araabiakeelse ajalehe al-Sharq al-Awsat teatel süüdistab Liibüa Iisraeli poliitilise eetika evimatuses rahvusvahelistes suhetes , teatas Ha'aretz .",,,,no,"The phrase 'evimatuses' refers to a state or condition rather than a location, so it is not an adverbial of place.",no,no,no,no,no,UNK
7224522,11620049,22,kahtlema,,in,ilmeksimatus,ilmeksimatuses,"Ka Peeter Kreitzberg on nüüdseks mõistnud , et mitte kõik Keskerakonnas kehtivad dogmad pole järgimist väärt ning kahtleb lausa paavsti endagi ilmeksimatuses .",,,,no,,no,no,no,no,no,UNK
2650272,4252533,14,vaevlema,,in,traumadepõrgu,traumadepõrgus,"Eesti jalgpallikoondis ei vaevle eelseisvate koduste EM-valikmängude eel Horvaatia ja Inglismaaga küll samasuguses traumadepõrgus kui enne eelmisi kohtumisi Venemaa ja Iisraeliga , kuid peatreener Jelle Goes peab hakkama saama vigastatud ründaja Andres Operita .",,,,no,,no,no,no,no,no,UNK
1375757,2187697,14,kahtlema,,in,järeldus,järeldustes,"Asjatundvad inimesed , meremehed , kes jälginud komisjoni tööd , ei kahtle komisjoni järeldustes .",,,,no,"The phrase 'järeldustes' indicates a context or focus (in the conclusions) but not a physical location, so it is not an adverbial of place.",no,no,no,no,no,UNK
13217235,21145523,8,süüdistama,,in,arv,arvus,"Afganistani võimud on NATOt süüdistanud tsiviilohvrite suures arvus ning NATO juhtkond on selle ka omaks võtnud , mööndusega , et Taliban kasutab tsiviilelanikkonda inimkilbina .",,,,no,,no,no,no,no,no,UNK
5164881,8286271,8,süüdistama,,in,inimsusvastane,inimsusvastastes,Haagis asuv rahvusvaheline sõjakuritegude tribunal süüdistab Milosevici inimsusvastastes kuritegudes ja nõuab tema väljaandmist .,,,,no,,no,no,no,no,no,UNK
4633039,7445568,5,kahtlema,,in,maksmine,maksmises,Riik kahtleb toasooja hüvitise maksmises,,,,no,,no,no,no,no,no,UNK
9194558,14778097,7,kahtlema,,in,lugu,loos,"Hotelli kaitsva turvafirma esindaja kahtleb Randuse loos , kuid mitte selles , et soomlane paljaks rööviti .",,,,no,,no,no,no,no,no,UNK
791559,1262434,19,kahtlema,,in,efektiivsus,efektiivsuses,"Teatavasti on väheedukaid sõjalisi operatsioone islami-äärmuslaste vastu seni juhtinud kordamööda miilitsajõud ja sõjaväelased , kusjuures neid teenindavate luurete efektiivsuses kahtleb ajakirjandus kõige enam .",,,,no,,no,no,no,no,no,UNK
6895545,11082009,3,kahtlema,,in,müügiedu,müügiedus,Kirjastused kahtlesid müügiedus ja ei võtnud kirjastada .,,,,no,,no,no,no,no,no,UNK
9850143,15806026,20,süüdistama,,in,jesuiitlikkus,jesuiitlikkuses,"N.ö keskmisele eestlasele näib  jesuiit  olevat sõimusõna : raadiost kuulen pahatihti , kuidas keegi süüdistab oma vastast  jesuiitlikkuses  .",,,,no,,no,no,no,no,no,UNK
4543177,7302546,16,kahtlema,,in,olümpiavõimalus,olümpiavõimalustes,"Veel kevadel , pärast kaotusi EMil maailma edetabeli kolmanda kümne meestele , kahtlesid taanlased Høyeri olümpiavõimalustes .",,,,no,,no,no,no,no,no,UNK
1375432,2187131,5,süüdistama,,in,hooletus,hooletuses,Kaebuses süüdistas inspektsioon pensioniametit hooletuses pensionäride ja lastetoetuse saajate isikuandmetega ümberkäimisel .,,,,no,,no,no,no,no,no,UNK
4458743,7169607,8,süüdistama,,in,diskrimineerimissoov,diskrimineerimissoovis,"Briti muslimikogukonna esindajad süüdistavad oma valitsust sarnases diskrimineerimissoovis , kuigi Suurbritannia siseminister John Reid eitas seda kolmapäeval otsesõnu .",,,,no,,no,no,no,no,no,UNK
146188,243682,11,süüdistama,,in,häda,hädades,Erinevalt eelmistest aastatest ei süüdistanud sel aastal peaaegu keegi oma hädades valitsust või poliitikuid .,,,,no,,no,no,no,no,no,UNK
992327,1580440,9,kahtlema,,in,eesmärk,eesmärkides,"Milosevici sõnul kahtlevad tema vastased ka ise oma eesmärkides ning "" võtavad Läänelt raha , et korraldada riigis streike ja päästa valla kaos "" .",,,,no,,no,no,no,no,no,UNK
11223196,17982612,22,süüdistama,,in,heroiinitarvitamine,heroiinitarvitamises,"Endine Tallinna linnavalitsuse nõunik Sergei Tshernov kaebab kohtusse venekeelse ajalehe Delovõje Vedomosti , mis süüdistas teda juuni lõpus mitu aastat kestnud heroiinitarvitamises .",,,,no,,no,no,no,no,no,UNK
17056271,26215844,15,kahtlema,,in,populaarsus,populaarsuses,"Avaliku arvamuse küsitlused pole tema võimalusi seni hinnanud , kuid keegi ei kahtle Mihhalkovi populaarsuses .",,,,no,"The phrase 'populaarsuses' refers to a state or condition, not a location, so it is not an adverbial of place.",no,no,no,no,no,UNK
