sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
7950871,12740282,35,suhtuma,,adit,idealiseerimine,idealiseerimisse,"Ma usun , et lugejad siiski tajusid , vastupidi , ideoloogiavastast subversiooni , õõnestust või vähemalt ambivalentsust , sest tegelikult oli Hansen-Tammsaare antifašist ning suhtus oma teostes kriitiliselt ka talupoegluse ning "" juurte "" idealiseerimisse .",,,,no,,no,no,no,no,no,UNK
931473,1483428,4,suhtuma,,adit,kavatsus,kavatsusse,"Kultuuriminister Signe Kivi kavatsusse takistada piraatkauplejat pärast müügilitsentsist ilma jäämist teise firma nime all edasi , suhtub Eesti Autoriühingu tegevdirektor Kalev Ratus kahtlevalt .",,,,no,,no,no,no,no,no,UNK
3575861,5757930,14,suhtuma,,adit,kiri,kirja,"TALLINN , 20. märts ( EPLO ) - Linna meediapoliitikat kritiseerinud ajakirjanike avalikku kirja ükskõikselt suhtunud pealinna võimud pälvisid samal teemal etteheiteid Turu-uuringute ASi uuringus , kirjutab Postimees .",,,,no,It is not classified as adverbial of place because 'kirja' describes an object (letter) rather than indicating a location or spatial context.,no,no,no,no,no,UNK
18370715,27849557,27,sekkuma,,adit,otsustus,otsustusse,"Meil on võimalus ja täielik õigus ka vaimse tõusutee valikust keelduda , Jumal-Isa on meile jätnud sellegi vabaduse ja ta ei sekku sellisesse sureliku olendi põhimõttelisse otsustusse mingil moel .",,,,no,,no,no,no,no,no,UNK
15611512,24363151,2,suhtuma,,adit,laenemine,laenemisse,"Tööriistade laenemisse suhtun teatud ettevaatusega , kuigi neid ise pidevalt välja laenan , aga selle 8mm endal omamine tundub veidi ebavajalik , aga hetkel oleks vaja .",,,,no,,no,no,no,no,no,UNK
876048,1395301,3,sekkuma,,adit,kasvatamine,kasvatamisse,Võõrasisa tüdruku kasvatamisse ei sekkunud .,,,,no,,no,no,no,no,no,UNK
116525,195843,10,suhtuma,,adit,kurtmine,kurtmisse,"Kuidas suhtuvad näiteks sõjaväele pühendunud inimesed koonderakondlike ministrite pidevasse kurtmisse selle üle , et sõjavägi neelab liiga palju raha , et seda raha võiks hoopis “ kasulikumalt ” suunata ning et NATO-sse pürgimine olevat üldse mõttetus ?",,,,no,,no,no,no,no,no,UNK
2954932,4738899,13,põdema,,adit,EM-kuld,EM-kulda,Kreeklased jäid ka olümpia vutikullast ilma ja põevad seda pärast üllatuslikult võidetud EM-kulda väga valusalt .,,,,no,,no,no,no,no,no,UNK
566695,896477,12,sekkuma,,adit,tegevus,tegevusse,Kohvikumaja omanik Ene Riisna elab New Yorgis ega sekku kuigivõrd rentnike tegevusse .,,,,no,,no,no,no,no,no,UNK
7286678,11707881,12,suhtuma,,adit,kingitus,kingitusse,"Riigivõimud vaatlesid ülikooli kui kingitust linnale , kuid linn suhtus sellesse kingitusse esialgu üsna suure umbusuga .",,,,no,,no,no,no,no,no,UNK
13059669,20896970,6,suhtuma,,adit,enesepaljastus,enesepaljastusse,Tharke tööandja suhtus aga mehe enesepaljastusse rahulikult .,,,,no,,no,no,no,no,no,UNK
2497128,4003976,7,sekkuma,,adit,nõrgenemine,nõrgenemisse,"USA valitsus ei sekkunud samuti jeeni nõrgenemisse , nagu ta on seda varem teinud .",,,,no,,no,no,no,no,no,UNK
16573,28614,5,suhtuma,,adit,jätmine,jätmisse,Kuidas õpetajad klassi pooleli jätmisse suhtusid ?,,,,no,,no,no,no,no,no,UNK
1119090,1779200,3,suhtuma,,adit,avaldus,avaldusse,Suhtun kaitsepolitsei avaldusse kui äriettevõttesse .,,,,no,,no,no,no,no,no,UNK
7477494,12002349,15,suhtuma,,adit,diskuteerimine,diskuteerimisse,"Sissejuhatuseks tuleks märkida , et siinkirjutaja kuulub nende hulka , kes antud teema üle diskuteerimisse mõnevõrra umbusklikult suhtus .",,,,no,,no,no,no,no,no,UNK
19043032,28737701,6,suhtuma,,adit,laenuprojekt,laenuprojekti,"Suhteliselt kriitiliselt on suhtunud sellesse laenuprojekti Maaelu Arengu Instituut , kes näiteks - tsiteerin kirja - on öelnud , et mitmetel ajaloolistel põhjustel ei ole Põllumajandusministeerium praegu efektiivselt tegutsev valitsusasutus .",,,,no,,no,no,no,no,no,UNK
3694023,5948460,25,suhtuma,,adit,kaitsepakt,kaitsepakti,"Venemaa president Boriss Jeltsin loodab saada Rootsilt abi suhete soojendamisel Moskva ja Balti riikide vahel , kuid ekspertide hinnangul ei suhtu Rootsi Venemaa pakutud kaitsepakti kuigi soojalt .",,,,no,,no,no,no,no,no,UNK
17716755,27059964,14,suhtuma,,adit,arupärimine,arupärimisse,"Aitäh , austatud minister , ka kirjaliku vastuse eest , et nii korrektselt arupärimisse suhtute .",,,,no,,no,no,no,no,no,UNK
15332105,23943956,4,suhtuma,,adit,ebausk,ebausku,Aga kuidas suhtute ebausku .. « 13 ja reede » ja « must kass läheb üle tee » jne,,,,no,,no,no,no,no,no,UNK
5902552,9475120,20,sekkuma,,adit,realiseerimine,realiseerimisse,"Riigi esindajate esmane lubadus oli , et bioplasti tehas on vajalik ja sellest tõuseb tulu kõigile ehk riik projekti realiseerimisse ei sekku , ütles ETAle bioplastitehast rajava ASi Estbiotech juhataja Valmar Visnapuu .",,,,no,,no,no,no,no,no,UNK
9863715,15828417,3,põdema,,adit,AIDS,AIDSi,Neist põeb AIDSi viis inimest .,,state,ORG,no,,no,no,no,no,no,UNK
11428353,18312758,4,suhtuma,,adit,komponeerimine,komponeerimisse,Bobby McFerrin suhtub komponeerimisse kui mõtete korrastamisse .,,,,no,,no,no,no,no,no,UNK
83328,141764,2,suhtuma,,adit,iseseisvus,iseseisvusse,Fääri iseseisvusse suhtub peaminister väga skeptiliselt .,,,,no,,no,no,no,no,no,UNK
860880,1370867,29,sekkuma,,adit,arutelu,arutellu,""" Baise-moi "" , milles näidatakse üksikasjalikult teesklemata suguakti , paneb aga veidi muret tundma ka BBFC direktori Robin Duvali - tema sõnul sekkub nõukogu piirangute üle peetavasse arutellu erandjuhtudel , kui film propageerib vägivalda või narkomaaniat või siis sisaldab detailset seksi .",,,,no,"The phrase 'arutellu' does not indicate a location but rather the topic or abstract realm of discussion, so it is not an adverbial of place.",no,no,no,no,no,UNK
9748731,15641918,7,suhtuma,,adit,juhtimine,juhtimisse,"Kuidas te suhtute Tallinna politsei hajutatud juhtimisse , kus on väga palju väiksemaid ja suuremaid ülemusi ?",,,,no,,no,no,no,no,no,UNK
6706767,10790308,16,suhtuma,,adit,arvelevõtmine,arvelevõtmisse,""" On ju olemas kindlad sümptomid , aga on naisi , kes ei suhtu raseduse arvelevõtmisse piisava tõsidusega , "" nentis Martinson .",,,,no,,no,no,no,no,no,UNK
2241174,3585220,6,suhtuma,,adit,karistamine,karistamisse,"Justiitsminister Märt Rask suhtub klientide karistamisse skeptiliselt , kuid ei välista võimalust , et see kunagi teoks saab .",,,,no,,no,no,no,no,no,UNK
10628027,17034249,1,suhtuma,,adit,laulmine,Laulmisse,Laulmisse suhtub ta praegu üldse pisut ettevaatlikult .,,,,no,,no,no,no,no,no,UNK
1400781,2227711,8,sekkuma,,adit,selgitamine,selgitamisse,Millistes tuultes need kilogrammid siis räigemalt paremuse selgitamisse sekkuvad ?,,,,no,,no,no,no,no,no,UNK
5158739,8276094,5,suhtuma,,adit,eelarvekäsutamine,eelarvekäsutamisse,Kuidas Teie suhtute sellisesse eelarvekäsutamisse ja kas see suurendab Teie arvates reapolitseinike lugupidamist oma juhtide vastu ?,,,,no,,no,no,no,no,no,UNK
12991323,20785290,7,suhtuma,,adit,haakrist,haakristi,"Ja isegi mu haritud sõbrad suhtusid haakristi kui võimalusse , mis päästab brežnevlusest .",,,,no,,no,no,no,no,no,UNK
12738389,20379497,16,suhtuma,,adit,esinemiskirg,esinemiskirge,"Alaline süüdlane muusikanõukogu silmis on jätkuvalt Eesti Kontsert , kes miskipärast suhtuvat leigelt eesti interpreetide esinemiskirge selle firma egiidi all .",,,,no,,no,no,no,no,no,UNK
12941026,20702037,4,suhtuma,,adit,arvustus,arvustusse,Kadi suhtub igasugusesse arvustusse oma välimuse kohta üsna rahulikult : inimestel on ju nii erinev maitse ja teiste arvamuse järgi elada on võimatu !,,,,no,,no,no,no,no,no,UNK
2288426,3664293,20,suhtuma,,adit,laekumine,laekumisse,"Mõõdukate aseesimehe Eiki Nestori sõnul on aga arusaamatu , miks ministeerium nii mullu sügisel kui ka tänavu kevadel eelarve laekumisse nii ettevaatlikult suhtus ja lisaeelarve kinnitamisel oodatavat ülelaekumist peitis .",,,,no,,no,no,no,no,no,UNK
809416,1291403,3,suhtuma,,adit,kõrvaldamine,kõrvaldamisse,Isegi füüsilisse kõrvaldamisse ehk tapmisähvardusse suhtub ta rahumeelselt .,,,,no,"The phrase 'kõrvaldamisse' refers to an action or concept (elimination) rather than a physical or metaphorical location, so it is not an adverbial of place.",no,no,no,no,no,UNK
10423906,16721610,13,suhtuma,,adit,käepigistus,käepigistusse,"Iseasi , et teenetemärkide all lookas filmid suhtuvad ilmse ükskõiksusega Alliku sooja käepigistusse ja Seaküla Simsoni Kappava Hobuse võiduskulptuuri .",,,,no,,no,no,no,no,no,UNK
