sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
2571838,4126778,12,võtma,ära,abl,kohtunik,kohtunikelt,"Pärast seda , kui põhiseaduskomisjonis läksid läbi ettepanekud , mis võtavad kohtunikelt ära loodetud staažitasud ja mõned sotsiaalsed garantiid , on võimuparteide esindajad pidanud maha mitu tulist arutelu .",,alive,,no,,no,yes,no,no,yes,actor
421670,657279,7,võtma,ära,abl,mees,mehelt,Maardu politseinikud võtsid esmaspäeval Maardus kahelt mehelt ära neli kotikest arvatavasti narkootilist ainet .,,,,no,,no,yes,no,no,yes,actor
505335,794968,8,võtma,vastu,abl,algaja,algajatelt,"Kristiina Klaos kuulub komisjoni , mis võtab algajatelt purjetajatelt eksameid vastu .",,,,no,,no,yes,no,no,yes,actor
11717548,18752509,4,võtma,ära,abl,Paavo,Paavolt,Lisaks võttis kohus Paavolt ära mootorsõiduki juhtimise õiguse kolmeks aastaks .,,,PER,no,"The phrase 'Paavolt' refers to a person rather than a place, so it is not classified as an adverbial of place ('no').",no,yes,no,no,yes,actor
8132565,13052381,5,võtma,ära,abl,piduline,pidulistelt,"Politseinikud võtsid koostöös turvameestega pidulistelt ära 32 kahtlast tabletti , kaheksa kotikest rohelise puruga , neli kotikest valge pulbriga , kaks taimse puruga topitud piipu ja kaks kahtlase ainega täidetud sigaretti ning ühe annuse paberisse volditud taimepuru .",,alive,,no,,no,yes,no,no,yes,actor
3762700,6060401,3,võtma,vastu,abl,hankija,hankijalt,Siseministeerium võtab hankijalt vastu Schengen Facility programmi abil piirivalvele ning maksu- ja tolliametile muretsetud kaks mobiilset läbivalgustusseadet .,,,,no,,no,yes,no,no,yes,actor
12381894,19822352,8,saama,peksma,abl,müüja,müüjalt,Harjumaale maja ostma läinud mees sai arvatavalt müüjalt tugevasti peksa ja jäi ilma ka 3000 kroonist .,,,,no,,no,yes,no,no,yes,actor
5174269,8301437,5,võtma,vastu,abl,töötaja,töötajatelt,Ametivande võttis Valge Maja töötajatelt vastu asepresident Dick Cheney .,,alive,,no,,no,yes,no,no,yes,actor
1136320,1806148,9,võtma,vastu,abl,inimene,inimestelt,"Pärast heateokuu lõppu ei võta me paar kuud inimestelt ühtegi asja vastu ja tegeleme ainult asjade sorteerimisega , sõnas Teras .",,alive,,no,"The phrase 'inimestelt' describes the source ('from whom') and not a location, so it is not adverbial of place.",no,yes,no,no,yes,actor
3738596,6020731,1,kuulma,,abl,maainimene,Maainimestelt,"Maainimestelt olen kuulnud , et seakasvatamine ei tasu end ära .",,alive,,no,,no,yes,no,no,yes,actor
