,lemma,form,verbifraas,lause_id
0,Marko,Markole,tüdrukud on isa sõnul Markole hoogsalt amokki jooksnud,775
1,poliitika,poliitikast,Lahkusin poliitikast aastal,880
2,ilme,ilmel,Nüüd käib kass ilmel aias ringi,2886
3,Kelam,Kelamitel,raske käib Kelamitel abiks vanadaam,2898
4,aastavahetus,aastavahetusel,Olen aastavahetusel koolides mängimas käinud,3305
5,tippaja,tippajal,Lahkusin ajakirjandusest ju tippajal pärast saamist,3752
6,Kohila,Kohilas,Käisin Kohilas üritusel,5695
7,üritus,üritusel,Käisin Kohilas üritusel,5695
8,laulutund,laulutunnis,Käime Karliga laupäeviti Musamaris laulutunnis,6520
9,Ateena,Ateenas,Helen istub Ateenas ühisköögis,7872
10,kleidiproov,kleidiproovis,käis Barbra teadmata kleidiproovis,8798
11,aprill,aprillis,Viimati liikus teineteise käevangus juubelipeol aprillis,11874
12,eliitülikool,eliitülikoolides,põlvkond on koolis käinud eliitülikoolides,15259
13,autokool,autokoolis,käis siis nüüd autokoolis ära,16511
14,talu,talus,saada käis Tiina koos perega suvel talus abiks,17128
15,iseenese,iseendast,disainer astus pärast showd lavale iseendast numbrit väiksemana,19785
17,Vilsandi,Vilsandil,suvel käib ta treti Vilsandil,21315
18,kelder,keldris,siis on keldris käinud varas,23000
19,Bronx,Bronxist,poleks ma Bronxist kunagi lahkunud,27200
20,finaalvõistlus,finaalvõistlusel,Koos käisid nad finaalvõistlusel,29795
21,telepurk,telepurgist,kes telepurgist läbi käis,30567
23,vastassugupool,vastassugupoolest,lõpuks istud iga vastassugupoolest hirmus teeb,32958
24,Venemaa,Venemaal,Nad käisid meiega sageli Venemaal kaasas,33090
25,kord,korras,aastat tagasi käis koolitüdruk korras Eestis,35094
26,maakodu,maakodus,hiljuti käis maakodus,37886
27,naer,naerul,Põõsast jookseb välja naerul poiss,41437
28,Verona,Veronas,filmigrupp Veronas ringi liigub,43916
33,talveöö,talveööl,talveööl käis metsavend meil,47141
34,korvtool,korvtoolidel,mina tüdruk istume korvtoolidel,47808
35,üksteise,üksteisest,inimesed käivad üksteisest läbi mühakad,49878
36,kangamess,kangamessidel,Käisid hiljuti kangamessidel suundub,50376
37,maraton,maratonidel,olen käinud maratonidel,50839
38,ida,itta,Ta lahkus pärast võitlust vennaga itta lubades,54296
39,hoiak,hoiakule,Vaatamata hoiakule astus valitsus siiski aastal samme tulla,55053
40,kuu,Kuul,detsembrini käis Kuul kokku meest,56670
41,valitsus,valitsuses,Pidevalt valitsuses istunud,57337
42,Narva,Narvas,Narvas ei käinud koolis,60401
49,maosein,maoseinast,Leidmata eest pisikuid ei lahku immuunrakud ometi maoseinast,71170
50,otsing,otsinguil,läks lahkus siitkandist otsinguil inimesi,71637
52,üldjuht,üldjuhul,mis üldjuhul rahulikult liiguvad,78001
55,pesula,pesulas,Korra käid pesulas liitrit,81699
58,iminokk,iminokas,Teisalt liigub veri iminokas suunas,88332
59,positsioon,positsioonilt,me astume tagasi positsioonilt,89531
61,tulemus,tulemusel,tulemusel peaminister astus tagasi,97110
62,tualett,tualetis,Käisin tualetis puuderdamas,102110
