text,id,label,review,text_id,las
Mullu kuulutas ajakiri People ta lahutatud lapsevanemate kategoorias musterisaks .,2001,"[{""start"": 0, ""end"": 5, ""text"": ""Mullu"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,19,0.0
On tal vast iseloom !,2002,"[{""start"": 7, ""end"": 11, ""text"": ""vast"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,24,50.0
Kolm aastat tagasi astus valgesse hõlsti rüütatud Evelin Jeruusalemmas lavale ning laulis telekaamerate vahendusel umbes sajale miljonile inimesele .,2003,"[{""start"": 115, ""end"": 120, ""text"": ""umbes"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,59,77.8
"Võib-olla on otsus ärijuhtimist tudeerima asuda mu alateadlik soov taganemisteed kindlustada , ” arutleb Evelin .",2004,"[{""start"": 0, ""end"": 9, ""text"": ""Võib-olla"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,97,0.0
"Eemalolek suurtelt lavadelt on tema sõnul taotluslik , et mitte enne plaadi ilmumist kuulajaid eksitada .",2005,"[{""start"": 58, ""end"": 63, ""text"": ""mitte"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,99,46.7
"Tähtis on omada piisavalt raha , et oleks mugav olla .",2006,"[{""start"": 16, ""end"": 25, ""text"": ""piisavalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,102,30.0
Mul on olnud võimalik mingeid situatsioone lihtsamalt lahendada .,2007,"[{""start"": 43, ""end"": 53, ""text"": ""lihtsamalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,130,62.5
"“ Ma olen elus palju nutnud , ” tunnistab AS Sangari juhatuse esimees JAAN KALLAS .",2008,"[{""start"": 15, ""end"": 20, ""text"": ""palju"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,134,0.0
Kuid sel kõige viimasel tunnil oli Kadri saatuse tahtel üksi .,2009,"[{""start"": 9, ""end"": 14, ""text"": ""kõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,168,0.0
“ Meil käis lihtsalt krõks !,2010,"[{""start"": 12, ""end"": 20, ""text"": ""lihtsalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,182,60.0
"Kadri oli perekonna hing , kõige parem sõber ja hea kuulaja .",2011,"[{""start"": 27, ""end"": 32, ""text"": ""kõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,184,36.4
