verb,verb_compound,morph_case,classification2,sentence_id,head_id,head_loc,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,is_abstract
astuma,,el,loc,10991082,17603700,19,jalg,jalust,Vene kultuurikeskuses peetud « Miss Teini » võistlusel astus lavale kümne neiu asemel seitse külmetushaigus niitis kolm tütarlast jalust .,,,,yes,,,,,,
astuma,,el,loc,6796324,10934290,4,esiuks,esiuksest,""" Astusin trolli esiuksest , täksisin pileti ja kuna troll oli rahvast täis , jäin esimese posti juurde seisma .",,,,yes,"The phrase 'esiuksest' was classified as 'yes' because it specifies a location, indicating where the speaker entered the troll.",,,,,
astuma,,el,loc,4316912,6944541,7,saatkond,saatkonnast,"Samuti astus ta läbi Vene föderatsiooni saatkonnast , kus nii talle kui ka naisele ja lapsele väljastati kolme tunniga viisad Peterburi külastamiseks .",,,,yes,,,,,,
astuma,,el,loc,11183528,17913978,4,repressioon,repressioonidest,"Peremehed , kes repressioonidest hoolimata ikkagi ei astunud kolhoosi 1949. aasta jooksul , maksustati võrreldes eelmise aastaga kolmekordse põllumajandusmaksuga .",,,,yes,,,,,,
astuma,,el,loc,3279008,5270566,7,Türgi,Türgist,Kuni kangi juurde astub Nurcan Taylan Türgist .,,location,LOC,yes,,,,,,
astuma,,el,actor,6227649,10002507,3,reformist,reformistidest,"Umbusaldusavaldused said reformistidest värskelt ametisse astunud Hanno Pevkur , Peep Aaviksoo ja rahvaliitlane Vladimir Maslov .",,alive,,no,"The phrase 'reformistidest' is not classified as an adverbial of place because it indicates origin or membership, not a specific location.",no,yes,no,no,no
astuma,,el,actor,4482922,7208146,3,soosik,soosikutest,Starti astuvad soosikutest ka Brian Clay ja Roman *ebrle .,,,,no,"The phrase 'soosikutest' describes the group people are a part of, not a location.",no,yes,no,no,no
astuma,,el,actor,19785,34117,19,iseenese,iseendast,Moesõpru tabas hiljaaegu Chaneli moemaja kevad-suvise kollektsiooni esitlusel shokk - Chaneli disainer Karl Lagerfeld astus pärast showd lavale iseendast mitu numbrit väiksemana .,,,,no,"The phrase 'iseendast' is not classified as an adverbial of place because it refers to oneself, not a physical or locational aspect.",no,yes,no,no,no
astuma,,el,actor,12684303,20294325,7,salakütusevedaja,salakütusevedajast,"Eile astus Pärnu maakohtu ette 16 salakütusevedajast ja nendega koostööd teinud tollitöötajast koosnev kuritegelik grupeering , kelle süül jäi riigil saamata väidetavalt üle 16 miljoni krooni aktsiisi- ja käibemaksu .",,,,no,"The phrase 'salakütusevedajast' describes a type of person and not a location or spatial reference, so it is not classified as an adverbial of place.",no,yes,no,no,no
astuma,,el,actor,6894892,11080969,5,hoolealune,hoolealustest,"Nii astus üks Kvaratshelija hoolealustest , väravavaht , palli püüdes auku .",,alive,,no,"The phrase 'hoolealustest' refers to individuals receiving care, not a physical location, so it is not classified as an adverbial of place.",no,yes,no,no,no
heitma,ette,all,loc,3552480,5720879,9,juhatus,juhatusele,Nõukogu omakorda ei ole sellega rahul ja on juhatusele ette heitnud eri operaatorite erisugust kohtlemist .,,,,yes,,,,,,
heitma,ette,all,loc,10305838,16539610,5,Rwanda,Rwandale,Kabila on heitnud nii Rwandale kui ka Ugandale ette mässuliste toetamist .,,location,LOC,yes,,,,,,
heitma,ette,all,loc,9387318,15074003,3,ERA,ERAle,"Tarand heidab ERAle ette , et kaitseväe kadetid ei ilmuta innukust pärast diplomi saamist ohvitserina teenistusse minekuks .",,,,yes,"The phrase 'ERAle' indicates a direction or target ('to ERA'), which is a location-related expression, so it is classified as an adverbial of place.",,,,,
heitma,ette,all,loc,456434,715121,13,linn,linnale,"Paraku leiti , et raha selle tarvis pole , "" heidab Melder linnale ette .",,,,yes,"The phrase 'linnale' indicates a direction or location (towards the city), which makes it adverbial of place.",,,,,
heitma,ette,all,loc,2299421,3682543,15,kiirabi,kiirabile,Igal aastal ilmutab erasektor valmisolekut riigi asemel ise kiirabiteenust pakkuma hakata ja heidab olemasolevale kiirabile ette halba majandamist .,,,,yes,,,,,,
heitma,ette,all,actor,369647,572549,3,S. Undsett,S. Undsetile,E. Raudsepp heidab S. Undsetile ette ka “ naise hingeelu idealiseerimist ja meestegelase mannetuna kujutamist ” .,,,PER,no,"The phrase 'S. Undsetile' refers to a person (S. Undset), not a physical location, so it is not an adverbial of place.",no,yes,no,no,no
