eemaldatav,fraas,näitelause
Mullu,"Mullu kuulutas, Mullu tarnis","Mullu kuulutas ajakiri People ta lahutatud lapsevanemate kategoorias musterisaks ., Mullu tarnis Gazprom Ukraina kaudu Euroopasse 110 miljardit kuupmeetrit gaasi ."
vast,tal vast,On tal vast iseloom !
Võib-olla,Võib-olla on,"Võib-olla on otsus ärijuhtimist tudeerima asuda mu alateadlik soov taganemisteed kindlustada , ” arutleb Evelin ."
mitte,"et mitte, parteisse mitte, või mitte, teda mitte, , mitte, kuid mitte, aga mitte","Eemalolek suurtelt lavadelt on tema sõnul taotluslik , et mitte enne plaadi ilmumist kuulajaid eksitada ., Eesti Päevalehe artiklid Vene Ühtsuspartei nimekirjas olevatest , kuid sellesse parteisse mitte astunud eestlastest viisid keskkriminaalpolitsei süüdistuse esitamiseni partei juhatuse liikmele Eduard Sedaševile ., Raviasutuse nõukogule jääb võimalus kehtestada voodipäevatasu või mitte seda teha ., Kuid pärast esmaspäevast kohtumist Emsisega otsustas Uus Aeg teda mitte toetada ., 1. töö on parim kaitse vaesuse vastu - uus seadus motiveerib inimest töötama ja teenima töist tulu , mitte toetustest elama ., Organisatsiooni eksperdid nimetavad ajakirjanike mõrvamist "" äärmuslikuks , kuid mitte ainsaks tsensuuri meetodiks "" ., Sellest koorub välja mingi statistiline keskmine , aga mitte iga üksiku inimese hädad ."
kõige,", kõige, tegi kõige, oli kõige, kinnitusel kõige","Kadri oli perekonna hing , kõige parem sõber ja hea kuulaja ., John Hagelin ( Natural Law Party ) tegi kõige radikaalsema avalduse , väites , et "" meelelahutustööstus peaks tegema jõupingutusi selleks , leida uusi teid Napsterit ja sarnaste teenuste kasutamiseks "" maksa-iga-korra-eest "" "" ., Turniiri atraktiivseimaks mängijaks ning pealtvaatajate lemmikuks peeti Endla teatri näitlejat Sepo Seemani , kes arvas , et ta oli kõige nõmedam mängija ., Eesti taasisesisvumisel olid liidutehaste töölised Ilnitski kinnitusel kõige kaitsetumad ."
üksi,ta üksi,"” Jaan usub , et Kadrile poleks meeldinud , kui ta üksi jääks ."
Ei,"Ei ühele, Ei ,, Ei ,","Ei ühele ega teisele olnud laevahuku põhjus mingiks saladuseks ., Ei , sa nägid midagi enamat ., Ei , seinal on suitsetamist keelav silt ."
pigem,"läheb pigem, ring pigem","Aino Järvesoole saadetud kirjadest saaks vapustava raamatu fassaaditagusest Eestist , kus sirguv nooruk läheb pigem võõrleegioni kui Eesti sõjaväkke , sest tema meelest on riik , kus ta elab , võõras ja lastevaenulik ., Luige hinnangul laienemise esimene ring pigem rahustab kui ärritab Venemaad ."
nagu,", nagu, , nagu, Ela nagu, naerda nagu, hõrgutisi nagu","Kirjutajad loetlevad lausraiskamisi , nagu haridusministeeriumi Tartusse kolimine , poliitilised turismireisid , kallid autod , luksuslikud remondid jne ; poole miljoni krooni riigi rahaga Saaremaale rajatud golfiväljak , raudteenõustamise miljonid või Maapanga raha , mille kantisid endale need , kes vangimõistetud Eenmaale korraldusi jagasid ., Nii naiste kui meeste hulgas stardivad esikohapretendendid viitstardist , nagu esilagselt oligi planeeritud , kirjutab  ., Ela nagu sipelgas , tööta nagu sipelgas ., Orkester mürisenud naerda nagu rahvusmeeskoor ., Rindekohviku külalised saavad sõjaaegse muusika saatel ja vanaaegses õhustikus osta traditsioonilisi Soome hõrgutisi nagu pannkoogid moosi ja suhkruga , katlas keedetud kohv ja hernesupp ."
iseäranis,kes iseäranis,Ja kes iseäranis teenekad .
