sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag
3143873,5047902,12,olema,vaja,ill,eelarve,eelarvesse,""" Tema väitel on seda võimalik teha toimetulekutoetuste vahenditest , mistõttu eelarvesse pole vaja ka täiendavaid summasid .",,,
5356377,8592242,12,kaevama,,in,eluaasta,eluaastates,""" Viimase kahe aasta jooksul on järjest rohkem kahekümnendates ja kolmekümnendates eluaastates inimesi kaevanud halvenenud mälu üle , "" kinnitas ta .",,time,
11180684,17909605,6,peitma,,ill,maa,maasse,"Öelda , et peidame otsad maasse ja olen edaspidi lojaalne Eesti kodanik , on kah vaimuhaigus .",,,
668202,1062267,4,ringlema,,in,Eesti,Eestis,"Arvutiposti vahendusel ringleb Eestis viimastel nädalatel "" kurblaul kantsleritest ja sellest , mida kolmikliidu valitsus nendega teinud on "" .",,location,LOC
1325496,2107081,9,treenima,,in,Ramsau,Ramsaus,Kristina Shmigun treenib kolmapäevani Eestis ja seejärel taas Ramsaus .,,,LOC
39681,68848,17,jalutama,,in,park,pargis,"“ Vaatasime muusikali Lyon King , käisime kolmemõõtmelises kinos ja jalutasime “ Diana jälgedel ” - pargis , kus printsess armastas käia . ”",,,
9291887,14926848,3,sõitma,läbi,el,lilleputka,lilleputkast,Sõitsin läbi lilleputkast .,,,
8029088,12883575,9,hankima,,el,maja,majast,Teisema ülalpidamise oli ta hankinud linna naiste kooskäimise majast .,,,
469943,737348,7,pidama,kinni,in,Tallinn,Tallinnas,Harju liikluspolitsei pidas Savisaare kiiruseületamisel kinni Tallinnas Peterburi maanteel linna piiril 14. septembri hilisõhtul .,,location,LOC
921457,1467991,6,laiuma,,in,ulatus,ulatuses,Hiigelsuur õunaaed laiub mitme kilomeetri ulatuses peatee taga .,,,
6180,10691,2,valvama,,in,keskkool,Keskkoolis,“ Keskkoolis Kilingi-Nõmmel valvasid puritaanlikud õpetajad .,,,
