lause;form
Seevastu tüdrukud on isa Toivo sõnul Markole hoogsalt amokki jooksnud .;Markole
“ Lahkusin poliitikast 1999. aastal .;poliitikast
Nüüd käib koheva karvaga kass tähtsal ilmel aias ringi , põõnutab põõsaste all ja on pererahva rõõmuks isegi paar nurjatut hiirt kinni nabinud .;ilmel
Kuna nii suurte ruumide koristamine on tööl käivale naisele raske , käib Kelamitel abiks üks lahke vanadaam .;Kelamitel
Olen paaril aastavahetusel koolides tasuta jõuluvana mängimas käinud .;aastavahetusel
“ Lahkusin ajakirjandusest ju oma tippajal - pärast aasta ajakirjaniku tiitli saamist , ” mainib ta .;tippajal
Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .;Kohilas
Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .;üritusel
Käime Karliga laupäeviti Musamaris laulutunnis .;laulutunnis
Helen Sürje istub Ateenas modellide ühisköögis ja räägib Kreekast , mahlade varastamisest , Ita Everist ning arhitektuurist .;Ateenas
Minnie aga palkas kleiti õmblema Vera Wangi ning käis Barbra teadmata isegi kleidiproovis .;kleidiproovis
Viimati liikus paar teineteise käevangus Ita Everi juubelipeol aprillis .;aprillis
Järgmine , Ayesha põlvkond on koolis käinud Ameerika Ivy League'i eliitülikoolides .;eliitülikoolides
Samamoodi tuli Marika mitte just väga ammu koju shampuse ja juhilubadega , teatades , et käis siis nüüd autokoolis ära .;autokoolis
Et maal elavatelt sugulastelt toidulauale söögikraami saada , käis väike Tiina koos perega suvel talus abiks .;talus
Moesõpru tabas hiljaaegu Chaneli moemaja kevad-suvise kollektsiooni esitlusel shokk - Chaneli disainer Karl Lagerfeld astus pärast showd lavale iseendast mitu numbrit väiksemana .;iseendast
Igal suvel käib ta treti Jaan Tätte juures Vilsandil .;Vilsandil
Ja siis on minu keldris käinud näiteks varas !;keldris
Tundus , nagu poleks ma Bronxist kunagi lahkunud .;Bronxist
Koos käisid nad ka Eurovisiooni finaalvõistlusel ( pildil ) .;finaalvõistlusel
Aga maigu sai suhu küll , iga laps või noor või vana , kes telepurgist läbi käis , oli korrapealt tuntud ja kõigile tänaval vastutulijaile kui teretuttav .;telepurgist
Äärmuslik armukadedus on põrgulikumaid asju : lõpuks istud iga oma vastassugupoolest sõbraga hirmus , et äkki teeb su partner sellest oma järeldusi . ”;vastassugupoolest
Nad käisid meiega sageli Venemaal kaasas .;Venemaal
Üksteist aastat tagasi käis Lääne-Saksamaa koolitüdruk Ute noortevahetuse korras Eestis .;korras
Alles hiljuti käis Koit Toome sõbra Mikko Maltise maakodus .;maakodus
” Põõsast jookseb välja naerul poiss , pall kaenlas , telefon teises käes .;naerul
