text,id,label,review,text_id,las,uas,la
"Alternature on nimi , millega muusikaasjatundjad Evelini seostavad .",4010,"[{""start"": 22, ""end"": 29, ""text"": ""millega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,69,75.0,87.5,75.0
"” Jaan usub , et Kadrile poleks meeldinud , kui ta üksi jääks .",4027,"[{""start"": 17, ""end"": 24, ""text"": ""Kadrile"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,187,92.3,100.0,92.3
"Teiste Ukraina piirkondadega võrreldes on kompaktselt elavaid eestlasi praegu kõige rohkem Krimmis , 800 inimese ringis .",4034,"[{""start"": 0, ""end"": 28, ""text"": ""Teiste Ukraina piirkondadega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,270,92.9,92.9,100.0
Üldse elab iseseisvunud Ukrainas umbes 4200 eestlast .,4035,"[{""start"": 24, ""end"": 32, ""text"": ""Ukrainas"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,281,85.7,85.7,85.7
Just sellise esimese impulsina olidki eestlaste suvepäevad Krimmis mõeldud .,4037,"[{""start"": 0, ""end"": 30, ""text"": ""Just sellise esimese impulsina"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,297,50.0,83.3,50.0
"Jüri Kuke otsustused ei kerkinud kunagi emotsionaalselt pinnalt , vaid rangelt ratsionaalse mõttekäigu tulemusena .",4075,"[{""start"": 40, ""end"": 113, ""text"": ""emotsionaalselt pinnalt , vaid rangelt ratsionaalse mõttekäigu tulemusena"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,654,28.6,28.6,71.4
"Jüri Tamm meenutab , et oli Kukega koos parteibüroos .",4081,"[{""start"": 28, ""end"": 34, ""text"": ""Kukega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,713,44.4,44.4,77.8
"Just nimelt paremates , sest kehvemale ei hakka külge ükski üldistus .",4089,"[{""start"": 29, ""end"": 38, ""text"": ""kehvemale"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,810,90.9,100.0,90.9
"Kompleksseks muutunud ohtudega ühiskonda nimetab Beck ( 1992 ) riskiühiskonnaks , refleksiivseks elik hiliseks modernsuseks .",4159,"[{""start"": 0, ""end"": 12, ""text"": ""Kompleksseks"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1363,73.3,73.3,86.7
"Dunlap et al ( 2000 ) mõisteid kasutades ja Becki ( 1992 ) modernsete ühiskondade käsitlusi aluseks võttes koostas ettekandja järgneva analüüsiskeemi , mida testis magistritöö pilootempiiriaga .",4161,"[{""start"": 164, ""end"": 192, ""text"": ""magistritöö pilootempiiriaga"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1379,96.2,96.2,96.2
Indiviidid on riskiühiskonnale omaselt kõrgelt individualiseeritud .,4171,"[{""start"": 14, ""end"": 30, ""text"": ""riskiühiskonnale"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1509,66.7,100.0,66.7
"Linnavalitsus otsustas , et linn tellib audiitorfirmalt Deloitte & Touche Eesti AS Lasnamäe ja Pirita linnaosa valitsuse , kommunaalameti ning transpordiameti eelmise aasta raamatupidamise auditi .",4178,"[{""start"": 40, ""end"": 55, ""text"": ""audiitorfirmalt"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1643,96.0,96.0,100.0
"Teisalt , süües kasvab ka isu ja sellest lähtudes on Haapsalus veel väga palju teha .",4190,"[{""start"": 33, ""end"": 40, ""text"": ""sellest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1828,86.7,86.7,100.0
"Esimene põlvkond on kimäär , kelle varajasse lootesse on sisse viidud võõra organismi loote tüvirakud .",4223,"[{""start"": 27, ""end"": 53, ""text"": "", kelle varajasse lootesse"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2163,41.7,41.7,50.0
Postimehe lugejaskonda hinnati 1997. aasta kevadel 278.000-le ning 1998. aasta kevadel 255.000-le inimesele .,4227,"[{""start"": 31, ""end"": 61, ""text"": ""1997. aasta kevadel 278.000-le"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2245,90.0,90.0,100.0
Knicksi peavad siiski vedama lühemad mehed : Sprewell ja end supertäheks mängiv Allan Houston .,4232,"[{""start"": 45, ""end"": 53, ""text"": ""Sprewell"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2283,92.9,92.9,92.9
Rubin väljendas omakorda sügavat muret Tshetsheeniast väidetavalt põgenenud kuni 100.000 tsiviilelaniku saatuse pärast .,4241,"[{""start"": 76, ""end"": 118, ""text"": ""kuni 100.000 tsiviilelaniku saatuse pärast"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2405,77.8,88.9,77.8
"Kirikul pole õigust ette võtta erilisi nimetamisi , millele Piibel alust ei anna .",4264,"[{""start"": 52, ""end"": 59, ""text"": ""millele"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2789,92.3,92.3,92.3
"- "" Muud variandid kõne alla ei tule . "" .",4272,"[{""start"": 19, ""end"": 28, ""text"": ""kõne alla"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2880,88.9,100.0,88.9
Kaheksateist päeva enne 7. novembri valimisi toetab nii Texase kuberneri Bushi kui ka asepresidenti Gore'i ühtmoodi 44 protsenti võimalikest valijatest .,4274,"[{""start"": 0, ""end"": 44, ""text"": ""Kaheksateist päeva enne 7. novembri valimisi"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2886,93.3,100.0,93.3
Nad tõid modellimaailma uue kvaliteedi - kaunitest naistest said sama kuulsad iidolid nagu rokitähtedest .,4276,"[{""start"": 41, ""end"": 59, ""text"": ""kaunitest naistest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2925,84.6,100.0,84.6
"Ismailov ütles , et teated , nagu oleksid föderaalväed vallutanud Groznõi kesklinnas Minutka väljaku ja Sunža jõe silla , on enneaegsed .",4279,"[{""start"": 66, ""end"": 119, ""text"": ""Groznõi kesklinnas Minutka väljaku ja Sunža jõe silla"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,2969,92.9,92.9,92.9
"Ta'er on Tiibeti budismi kollase sekti üks suurimaid kloostreid , mis ehitati Mingi dünastia ajal ( 1368-1644 ) .",4282,"[{""start"": 78, ""end"": 97, ""text"": ""Mingi dünastia ajal"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3014,95.0,95.0,100.0
"Mille poolest erinevad näiteks Saksa , Tshehhi ja Eesti ohvitserid ?",4286,"[{""start"": 0, ""end"": 13, ""text"": ""Mille poolest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3077,55.6,55.6,66.7
Peale 13 aastat kestnud kooselu on Liz Hurley ja Hugh Grant otsustanud lahku minna .,4289,"[{""start"": 0, ""end"": 15, ""text"": ""Peale 13 aastat"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3114,75.0,75.0,83.3
800 000 dollari ehk ligi 15 miljoni krooni suuruse hooajatasuga Müürsepp kaotanuks kolm miljonit .,4309,"[{""start"": 20, ""end"": 42, ""text"": ""ligi 15 miljoni krooni"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3370,50.0,60.0,60.0
Rendikonkursi tingimuste kohaselt kogu Kohtla-Järve linna ühisveevärgi ja kanalisatsiooniobjektide renditasu algsuuruseks kõigest sada krooni .,4319,"[{""start"": 0, ""end"": 24, ""text"": ""Rendikonkursi tingimuste"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3506,92.3,92.3,100.0
"Homme müüvad oma raamatuid kirjastused "" Eesti Raamat "" ja "" Kunst "" , kolmapäeval "" Eesti Entsüklopeediakirjastus "" , neljapäeval "" TEA "" ja reedel "" Varrak "" .",4327,"[{""start"": 117, ""end"": 130, ""text"": "", neljapäeval"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3629,92.9,96.4,96.4
"Kas see võiks tähendada , et nukuteatrist saab eksperimentaalteater ?",4353,"[{""start"": 29, ""end"": 41, ""text"": ""nukuteatrist"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,3929,88.9,100.0,88.9
"Koonderakonna peasekretär Juhan Hindov ütles eile , et üheks erakorralise kongressi korraldamise põhjuseks on Ülo Nugise tekitatud ebaterve õhkkond erakonnas .",4364,"[{""start"": 110, ""end"": 120, ""text"": ""Ülo Nugise"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4044,68.4,68.4,78.9
