sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
6575811,10580540,19,elama,,all,edu,edule,""" Väikeseid konflikte inimeste vahel tuleb ikka ette , "" ütleb kümme aastat kodu- ja välisstaadionitel Eesti jalgpallikoondise edule ja ebaõnnestu-mistele kaasa elanud Poborsky ( 29 ) .",,,,
2836463,4549021,4,kuuluma,,ill,al-Qaida,al-Qaidasse,"Ülejäänud kaks meest al-Qaidasse teadaolevalt ei kuulu , kuid nemad olid ühe teise Iraaki džihaadivõitlejaid värvanud terrorivõrgustiku liikmed .",,,,
2131333,3403848,20,heitma,,all,kuru,kurule,Sisside ja Vene sõjaväelaste lahingutega samaaegselt rikkusid Vene lennukid ja helikopterid aga väidetavalt mitu korda riigipiiri ning heitsid Pankisi kurule pomme .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
8062799,12939052,1,jätma,,el,esineja,Esinejatest,"Esinejatest jättis parima mulje Marek Strandberg , kes kõige rohkem lükkas ümber käibetõdesid .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
19057361,28756967,9,jääma,puudu,ad,Kalevipoeg,Kalevipojal,"Tuletaksin meelde meie rahvuseepose Kalevipoja tarkust , kus Kalevipojal , rännates põhja poole , jäi natukene tarkusest puudu .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
1947766,3104520,2,kirjutama,,el,baar,baarist,Valli baarist kirjutavad soliidsed välismaised ajalehed,,,,
12085280,19346702,8,elama,,all,huvi,huvidele,"Vastutustundeta indiviid , kes elab vaid oma huvidele , on abstraktsioon või sotsiaalne patoloogia või mõlemad kokku .",,,,
205138,334682,23,mõistma,,el,võimatu,võimatust,"Ta vastab ise , et 70 aastat on küll mööda läinud ja ajas lihtsalt tagasi minna ei saa , ent mõistab seda võimatust eelkõige füüsiliste muutustega linna struktuuris ( selline sirgete joonte tõmbamine kesklinnas poleks enam võimalik sest osa tänavaga “ mittestandardses suhtes ” olevaid vanu maju on muinsuskaitse all ja neid ei saa lammutada ) .",,,,
5421823,8695024,27,kujutama,,all,luulerida,luuleridadele,"Esimese loengu peab Tartu Ülikooli kirjandusprofessor Rein Veidemann teemal "" Stseen ja kaader : elu ja surm "" , mis kujutab endast tekstisemiootilist parafraasi Artur Alliksaare luuleridadele "" Ei ole paremaid , halvemaid aegu , on ainult hetk , milles viibime praegu "" .",,,,
8550652,13704639,9,saama,,all,Polli,Pollile,"Pean seda ikka veel imeks , et sain Pollile .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
