sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
10615189,17014059,1,sündima,,el,kontekst,Kontekstist,"Kontekstist lahtikistuna , iseseisva orkestritöö pähe kuulatuna ei sünni “ Kashmiri ” sugugi shedöövriks pidada .",,,,
9201168,14788766,9,veenduma,,in,tagasivalimine,tagasivalimises,"Saksamaa praegune liidukantsler Helmut Kohl on veendunud oma tagasivalimises , kuigi ei luba valijatele sel aastal majanduskasvu rohkem kui 2,7 protsenti .",,,,
10602658,16995259,6,tulenema,,el,favoriit,Favoriidist,""" See ei tulene mitte Favoriidist , vaid minust , "" märkis Aarma .",,,,
7624824,12231702,3,sündima,,el,enesedistsipliin,enesedistsipliinist,"Enesekindlus sünnib enesedistsipliinist , õpetab Johnson .",,,,
3765694,6065540,7,tulenema,,el,ehitus,ehitusest,Ehitustegevuse kasv tulenes elamu- ja infrastruktuuriobjektide ehitusest .,,,,
17646522,26978576,16,viitama,,all,antisotsiaalsus,antisotsiaalsusele,"noh , seal peab olema põhjus , miks süütu ollakse , ning üldjuhul viitab see antisotsiaalsusele ja häbelikkusele ja suhtlemisoskuste puudumisele/vähesusele ehk teatavalt määral puudustele ühiskonnas eksisteerimisel ehk luuserlusele .",,,,
17970721,27344992,8,kahtlema,,in,pauk,Paugus,Tõsiseltvõetavatest astronoomidest ei kahtle tänapäeval keegi Suures Paugus .,,,,
7661626,12284598,3,sattuma,,adit,ajalehetoimetus,ajalehetoimetusse,"Kuidas materjal ajalehetoimetusse sattus , pole teada .",,,,
7212766,11601530,15,viitama,,all,arengutee,arenguteele,"Tal pole veel kindlust , millega läbida üksteisele järgnevad turniirid , "" viitas Luzgin arenguteele .",,,,
18016939,27415059,6,tulenema,,el,analüüsimine,analüüsimisest,"Need numbrid tulenevad BRS-i äriplaani analüüsimisest , mitte raudtee uue omaniku konkreetsetest väljaütlemistest .",,,,
4202380,6762421,18,sündima,,el,entusiasm,entusiasmist,"Konkursi külaliseks on Õ-Fraktsiooni liikmed K. Kaer , E. Moora , T. Leht , L. Lippmaa , kes jagavad oma kogemust entusiasmist sündinud filmitegemisest .",,,,
2848785,4568629,5,kahtlema,,in,Tšehhi,Tšehhis,"Euroopa piinamisvastaste komitee kahtleb Tšehhis seksuaalkurjategijate ohjeldamisel kasutatava kastreerimise õiguslikkuses , kuna kurjategijatele pakutakse kastreerimise alternatiivina tähtajatut vangistust .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
11209293,17958152,5,kahtlema,,in,kaitsetahe,kaitsetahtes,Avalikkus kahtleb eesti rahva kaitsetahtes .,,,,
5745672,9215963,4,tulema,välja,el,alateadvus,alateadvusest,"Valus minevik tuleb alateadvusest välja siis , kui temast räägitakse .",,,,
17460085,26767029,6,johtuma,,el,nimetus,nimetusest,"Seetõttu arvan , et sellest nimetusest iseenesest ei johtu veel mitte midagi halba .",,,,
