lemma|form|verbifraas|margend|lause|lause_id
Marko|Markole|tüdrukud on isa sõnul Markole hoogsalt amokki jooksnud|owner|Seevastu tüdrukud on isa Toivo sõnul Markole hoogsalt amokki jooksnud .|775
poliitika|poliitikast|Lahkusin poliitikast aastal|loc_a|“ Lahkusin poliitikast 1999. aastal .|880
ilme|ilmel|Nüüd käib kass ilmel aias ringi|manner|Nüüd käib koheva karvaga kass tähtsal ilmel aias ringi , põõnutab põõsaste all ja on pererahva rõõmuks isegi paar nurjatut hiirt kinni nabinud .|2886
Kelam|Kelamitel|raske käib Kelamitel abiks vanadaam|owner|Kuna nii suurte ruumide koristamine on tööl käivale naisele raske , käib Kelamitel abiks üks lahke vanadaam .|2898
aastavahetus|aastavahetusel|Olen aastavahetusel koolides mängimas käinud|time|Olen paaril aastavahetusel koolides tasuta jõuluvana mängimas käinud .|3305
tippaja|tippajal|Lahkusin ajakirjandusest ju tippajal pärast saamist|time|“ Lahkusin ajakirjandusest ju oma tippajal - pärast aasta ajakirjaniku tiitli saamist , ” mainib ta .|3752
Kohila|Kohilas|Käisin Kohilas üritusel|loc_c|Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .|5695
üritus|üritusel|Käisin Kohilas üritusel|event|Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .|5695
laulutund|laulutunnis|Käime Karliga laupäeviti Musamaris laulutunnis|event|Käime Karliga laupäeviti Musamaris laulutunnis .|6520
Ateena|Ateenas|Helen istub Ateenas ühisköögis|loc_c|Helen Sürje istub Ateenas modellide ühisköögis ja räägib Kreekast , mahlade varastamisest , Ita Everist ning arhitektuurist .|7872
kleidiproov|kleidiproovis|käis Barbra teadmata kleidiproovis|event|Minnie aga palkas kleiti õmblema Vera Wangi ning käis Barbra teadmata isegi kleidiproovis .|8798
aprill|aprillis|Viimati liikus teineteise käevangus juubelipeol aprillis|time|Viimati liikus paar teineteise käevangus Ita Everi juubelipeol aprillis .|11874
eliitülikool|eliitülikoolides|põlvkond on koolis käinud eliitülikoolides|loc_a|Järgmine , Ayesha põlvkond on koolis käinud Ameerika Ivy League'i eliitülikoolides .|15259
autokool|autokoolis|käis siis nüüd autokoolis ära|loc_a|Samamoodi tuli Marika mitte just väga ammu koju shampuse ja juhilubadega , teatades , et käis siis nüüd autokoolis ära .|16511
talu|talus|saada käis Tiina koos perega suvel talus abiks|loc_c|Et maal elavatelt sugulastelt toidulauale söögikraami saada , käis väike Tiina koos perega suvel talus abiks .|17128
iseenese|iseendast|disainer astus pärast showd lavale iseendast numbrit väiksemana|owner|Moesõpru tabas hiljaaegu Chaneli moemaja kevad-suvise kollektsiooni esitlusel shokk - Chaneli disainer Karl Lagerfeld astus pärast showd lavale iseendast mitu numbrit väiksemana .|19785
Vilsandi|Vilsandil|suvel käib ta treti Vilsandil|loc_c|Igal suvel käib ta treti Jaan Tätte juures Vilsandil .|21315
kelder|keldris|siis on keldris käinud varas|loc_c|Ja siis on minu keldris käinud näiteks varas !|23000
Bronx|Bronxist|poleks ma Bronxist kunagi lahkunud|loc_c|Tundus , nagu poleks ma Bronxist kunagi lahkunud .|27200
finaalvõistlus|finaalvõistlusel|Koos käisid nad finaalvõistlusel|event|Koos käisid nad ka Eurovisiooni finaalvõistlusel ( pildil ) .|29795
telepurk|telepurgist|kes telepurgist läbi käis|loc_a|Aga maigu sai suhu küll , iga laps või noor või vana , kes telepurgist läbi käis , oli korrapealt tuntud ja kõigile tänaval vastutulijaile kui teretuttav .|30567
vastassugupool|vastassugupoolest|lõpuks istud iga vastassugupoolest hirmus teeb|other|Äärmuslik armukadedus on põrgulikumaid asju : lõpuks istud iga oma vastassugupoolest sõbraga hirmus , et äkki teeb su partner sellest oma järeldusi . ”|32958
Venemaa|Venemaal|Nad käisid meiega sageli Venemaal kaasas|loc_c|Nad käisid meiega sageli Venemaal kaasas .|33090
kord|korras|aastat tagasi käis koolitüdruk korras Eestis|other|Üksteist aastat tagasi käis Lääne-Saksamaa koolitüdruk Ute noortevahetuse korras Eestis .|35094
maakodu|maakodus|hiljuti käis maakodus|loc_c|Alles hiljuti käis Koit Toome sõbra Mikko Maltise maakodus .|37886
naer|naerul|Põõsast jookseb välja naerul poiss|state|” Põõsast jookseb välja naerul poiss , pall kaenlas , telefon teises käes .|41437
Verona|Veronas|filmigrupp Veronas ringi liigub|loc_c|Kuni filmigrupp Veronas ringi liigub , käivad Romeo ja Julia õue uudistamas ka teised õnnekad .|43916
talveöö|talveööl|talveööl käis metsavend meil|time|“ Ükskord talveööl käis metsavend ka meil .|47141
korvtool|korvtoolidel|mina tüdruk istume korvtoolidel|loc_c|Näiteks see , kus mina ja Marianne'i-nimeline tüdruk istume korvtoolidel .|47808
üksteise|üksteisest|inimesed käivad üksteisest läbi mühakad|other|Anne Kahro ütleb : “ Kõige suurem šokk oli tagasi tulles , et inimesed käivad üksteisest läbi nagu mühakad .|49878
kangamess|kangamessidel|Käisid hiljuti kangamessidel suundub|event|Käisid hiljuti Pariisi ja Milano kangamessidel - kuhu mood suundub ?|50376
maraton|maratonidel|olen käinud maratonidel|event|Üldiselt treenin enda jaoks , aga olen käinud ka maratonidel .|50839
ida|itta|Ta lahkus pärast võitlust vennaga itta lubades|loc_a|Ta lahkus pärast võitlust oma vennaga itta , lubades sealt kunagi tagasi tulla .|54296
hoiak|hoiakule|Vaatamata hoiakule astus valitsus siiski aastal samme tulla|other|Vaatamata ühiskonna eitavale hoiakule astus valitsus siiski juba 1993. aastal samme , et võimalikest kriisidest puhtana välja tulla .|55053
kuu|Kuul|detsembrini käis Kuul kokku meest|loc_c|1972. aasta detsembrini käis kuue Apollo-laevaga Kuul kokku 12 meest .|56670
valitsus|valitsuses|Pidevalt valitsuses istunud|loc_a|Pidevalt valitsuses istunud põllumeeste esindajad suutsid eelarvet oma kasuks mõjutama hakata alles pärast karmikäelise Vähi asendamist pehme Siimanniga .|57337
Narva|Narvas|Narvas ei käinud koolis|loc_c|Mullu politseisse toimetatud alaealistest Narvas 11 ja Ida-Virus 17% ei käinud koolis .|60401
maosein|maoseinast|Leidmata eest pisikuid ei lahku immuunrakud ometi maoseinast|loc_c|Leidmata eest pisikuid , ei lahku kohaletulnud immuunrakud ometi maoseinast .|71170
