form|lause
3Dmark01SE 'st|Jutt käib ikka 3Dmark01SE 'st ?
7000rpm'ist|Jutt vist käis 7000rpm'ist ?
Aleksanderplatsil|Enne 11. septembrit kõnelesidki sotsiaaldemokraadid selle variandi võimalikkusest , aga pärast seda päeva hakkasid endised kommunistid - kellel niigi Ameerika ja NATO vastane maine - ainukesena suurt rahuparteid mängima ning käisid siniste lipukeste ja valgete rahutuvidega Aleksanderplatsil marssimas .
BBVst|1994 lahkus ta BBVst , et asuda tegevjuhina tööle Banco Central Hispanos , mis teatas oma kasumite kukkumisest .
C-sektoris|Kui teangi võistluse ajal , et poeg istub C-sektoris , siis vaevalt see kuulitõuketehnikat parandab , tõi Nool näite .
Gildest|Tänaseni pole Eestis lisandunud palju Gildest kiiremini jooksnud sprintereid .
Hiirelõksust|1958 sai « Hiirelõksust » Suurbritannia pikima lavaeluga etendus .
Laenutuspunktis|Laenutuspunktis endas liigub lausa katkematu kliendivool - on ehitushooaeg .
Nagano-võistkonnale|Kuigi eilset jõuproovi olümpiakoondise katsevõistlusena ei arvestatud , astus Kurg pika sammu Nagano-võistkonnale lähemale .
Novatoursis|Et Novatoursis käib praegu uue hooaja reiside kampaaniamüük , uputasid vihased ja nõutud kliendid niigi tööga koormatud klienditeenindajad kõnedega täiesti üle või vastupidi - liinid olid kinni ning ühenduse saamine osutus võimatuks .
Nõugastel|Nii käibki praegu Nõugastel hoopis remont ja ettevalmistus uueks hooajaks .
Smuulil|Teatriajaloo aspirandina käisin 1967. aasta suvel Koguvas Smuulil külas , et küsitleda teda ta näidendite sünnilugude ja tegelaste prototüüpide kohta .
Surfer's|Käisin igal pool , Surfer's Paradise'ist Sydney ooperiteatrini .
Svalbardilt|Elu lahkub Svalbardilt — Külmalt rannikult .
Waltherist|Juhuslikust lasust hoolimata ei hakanud Torger püstoli töötamise põhimõtteid siiski täpsemalt selgeks tegema ning järgmisel päeval käis ta ühes metsatalus Waltherist märki laskmas .
Wyongis|1994  jooksis hurt  Star Title Austraalias Wyongis 400 jardi ( 366 m ) ajaga 19,57 , seega keskmise  kiirusega 67,32 km/h  .
Zavodis|Käin Illusioonis või istume Zavodis või üldse kuskil oma pleisi peal .
aolinnas|araabia rändur , kes käis Hedeby aolinnas praeguse Schleswigi lähedal 950. aastal , kirjutas , et sealsed naised toonisid silmanurki musta värviga .
arhitektuuriinstituudis|Seepärast pelgab ta , et see töö pole tema jaoks , ehkki ta on õppinud Moskva arhitektuuriinstituudis .
blizzconidel|need inimesed , kes on blizzconidel käinud jne on kah saanud ...
cielile|rapdog: cielile meeldivad loomad eriti koer nagu mulle
dennises|ma käin dennises 6-ndat aastat
dollari-korrespondentkontolt|Teisel korral liikusid 10 000 000 USA dollarit PEPi dollari-korrespondentkontolt Bankers Trust Cos minema 30. novembril 1993.
eriõppusel|“ Millenniumi mõõtu hiigellaevu ei sildu Tallinna sadamates just iga päev ja seepärast käisid lootsid kevadel Kopenhaageni mereinstituudis eriõppusel , kus mängisid kruiisilaeva saabumise arvutitel läbi , ” selgitas ASi Tallinna Sadamas turundusjuht Erik Sakkov .
escape's|"Liisz|unemaailm: käisid escape's ?"
formeeritavasse|Detsembris astus ta formeeritavasse 2.
hingevahes|Aga mõte jooksis neil küll samas hingevahes kui igas lauses armastust ja mittearmastust , tõde ja vale kaalunud kirjanikul endal .
inlitel|plix15: jeesus kristus poti pjal istus inlitel pyxe mah akiskus et suhu hakata andma
ispelli-sõnastikust|TÕenäoliselt käib jutt Pearu Petersoni ispelli-sõnastikust .
jkodus|Istud jkodus ja vahid telekat .
jopestiilile|Iseasi , kuidas soonik konkreetsele jopestiilile istub .
kaVenemaale|Nafta liigub kaVenemaale
kehaval|paps: sitad pildid mul seal rates ga käib küll kehaval ajal
kiljates|” Kui ema hommikul töölt saabub , jooksevad lapsed talle kiljates ja sädistades vastu : “ Emme !
kinnisvaraotsinguil|33aastane Victoria on alates jaanuarist , kui selgus Beckhami üleminek L.A. Galaxysse , mitu korda Californias kinnisvaraotsinguil käinud .
Komsomoli-koosolekul|Komsomoli-koosolekul olen elus käinud vaid ühe korra , mõtlesin , et issand jumal , elame kahekümnendal sajandil ja tegeleme selliste lollustega !
kriisitendentsist|113 Järgnev väärib käesoleva analüüsi huvides tsiteerimist ( jutt käib Kaarle Tuori esitatud kolmest kriisitendentsist õiguses - õiguse sisemise ratsionaalsuse , õiguse objekti ja legitiimsuse kriisist ; tsitaat osutab niisiis probleemile õiguse objektist ) :
Kruupingil|Kruupingil istus minu nukk Mann , keda ma õhtuti kartsin .
kullos|peale selle käin kullos neljandat aastat ' joonistamine/maalimine ' kunstiringis ja olen ka 4 suve ühe kuntsnikku käe all õppinud .
Lastemängu-jaamas|Lastemängu-jaamas käib linnaosavalitsuse andmeil kuus korda nädalas iga päev paarkümmend last , et seal koos eakaaslastega mängida asjadega , mida kodus pole .
luukontrollis|Keskhaigla densitomeetriakabineti operaator Sigrid Veske ütles , et luukontrollis käib päeva jooksul paar tosinat inimest ning umbes pooltel leitakse luude hõrenemise tundemärke .
läbirääkimis|Paide Piima ostumüügijuhi Linnart Laimetsa sõnul käivad läbirääkimis= ed Venemaa esindajatega , kellest uue liini avamisel olid kohal Peterburi suuremad hulgifirmad Artis , Slobodka-Matissa ja Buteron .
masšuudil|+merilin: ega sa tartu tln masšuudil ei liigu ?
megailus|Knight17_AFK: viimati käisin talvel seal siis oli ikka megailus rsk :P
metallilaos|Transpordiameti üks põhjendus piirangu sisseseadmiseks oli Draamateatri , Estonia teatri ja Reaalkooli juhtide taotlus , milles väideti , et taksojuhid käivad Estonia metallilaos urineerimas .
milleast|kena_plix: milleast jutt käib
mujalt-Eestist|Presidendiks sobib pigem see , kes on suutnud endale kodu rajada ning riigikogu liige peaks oma korteri eest ise maksma nagu seda teevad kõik mujalt-Eestist Tallinnasse tööle käivad inimesed .
märgmõõturis|Kuivmõõturi all on tiivik ja skaala pole vees , märgmõõturis käib aga vesi läbi mõõturi .
nelipühikirikus|""" Algul käisime nelipühikirikus , soos sai mormoonide juures käidud , aga nüüd oleme vennastekoguduse Peeteli kirikus , "" loetleb Pille ."
Noorsoolikal|Kes käis Noorsoolikal(2006) siis nägi .
nägemiskontrollis|Mõlema kodu lapsed käisid paari – kolme kaupa Norman Optika optometristi Katrin Aneti juures nägemiskontrollis .
omavolilistelt|TALLINN , 15. juuni ( EPLO ) - Pühapäeval tabasid politseinikud teisipäeval vanglatööstuse välistööde brigaadist Laitsest omavolilistelt lahkunud kinnipeetava Vladimir Ivanovi .
padajale|Suu oli tal paokil ja ila jooksis suunurgast padajale .
Papademos|Papademos , kelle nimetamine kiidetakse ilmselt heaks täna EL-i välisministrite kohtumisel Luxembourgis , astub sel kuul ametist lahkuva prantslase Christian Noyeri asemele .
pasteerimas|Poisid tunnistavad , et rangete karistuste kartusest nad öösiti tüdrukuid pasteerimas ega kiusamas pole käinud .
politseiparklas|Hamiltoni auto konfiskeeriti kohe pärast rikkumist ja politseiparklas käis sellel järel vormeliässa sõber .
priisaunas|Vähemalt nii kirjeldasid eile oma praegust kodu kaks Raua tänaval priisaunas käinud kodutut .
päävitamas|tirtsuu: a vaat teisipääval ... siis käisime küll sõbrantsidega päävitamas
põliskohal|Ta istus jälle Werneris oma põliskohal , vagunsaali eelviimases latris , näoga ukse poole .
püssirohu-tünnil|Kui kasutada kulunud klišeed , siis istub rahvusvaheline üldsus Kosovos Balkani püssirohu-tünnil .
raudteejamas|Kell 12 . 07 istusid Kiviõli raudteejamas rööbastel kaks purjus meest , kes ei märganud lähenevat kaubarongi , ütles päästeameti korrapidaja .
ravivõimlemas|Et tervist hoida , käib Vaike ravivõimlemas ja sööb rohkem piimatoite .
rkkk-s|trasc: käisid rkkk-s
shamaanipaaril|Aastatel 1992-97 käis rezhissöör Mark Soosaar üheksal korral külas shamaanipaaril Soshol ja Tohel , kes elavad Surgutist umbes 250 km põhja pool .
Slaidiprojektorist|Slaidiprojektorist jookseb lavatagusele meri lindudega , aidates verbaalset reaalsust konkretiseerida .
solidoolist|Riiv käis raskelt , aga mitte roostest vaid tardunud , õhukeseks ja sitkeks paakunud solidoolist .
sulatalvel|Ta kass käis sulatalvel prügikastides söömas ja sai omale mingi haiguse , mis ei lasknud ta organismil toitu kinni pidada .
surakas|Kui pistiku pessa panin käis seal surakas .
surnuaiavõtetel|“ Öösel käisime ka surnuaiavõtetel . ”
taasühinemiskõnelustelt|Varem on Peking ähvardanud saart rünnata , kui too kuulutab välja iseseisvuse või lahkub lõplikult taasühinemiskõnelustelt .
talassos|Fra Mare talassos käivad eestlased vanuses 20 – 45 aastat .
teatrikirjatsuradest|Teatritegijad käivad teatrikirjatsuradest ikka sammuke või kaks eespool .
teevabrikus|Nii käisime meiegi teevabrikus teed vaatamas ja rüüpamas , kuid meeldejäävaimaks mälestuseks mägedest ja ka Sri Lankast jäi kolme tunni pikkune rongisõit .
Teoloogiaseminarilt|Väidetavalt on Changi CV-s kirjas , et ta lõpetas Princetoni Ülikooli doktorantuuri , tegelikult sai ta kraadi Princetoni Teoloogiaseminarilt .
Trahviohust|"Trahviohust hoolimata liiguvad praegugi paljud Suurbritannia autod kasutatud taimeõliga , millesse on lisatud paar tilka orgaanilist lahustit "" white spirit "" ."
tsiviilvormis|Kalevi pingil istuvad tsiviilvormis Randar Luts ja Andre Pärn .
Turvarajal|Turvarajal käivad juhitunnistuse taotlejad , aga ka täiendusõppusel osalejad ja tavasõitjad , kes tahavad tunnetada jäätee ohtlikkust .
tõusuunal|Wall Street liikus esmaspäeval kooskõlas muu maailma börsidega tõusuunal , välja arvatud tehnoloogiasektor , mis oli miinuses .
tööriistateras|Selleks pole miskit titaani vaja , tavaline tööriistateras käib küll .
uhul|+sexy_girl: ega need asjad vähemalt minu uhul ka nii ei käi
vaegarengualadelt|Täiendavad probleemid ( nt tööpuudus ) tekivad linnades , kuhu vaegarengualadelt lahkuvad inimesed siirduvad .
valitsemiskuudel|Isamaa valitsus astus juba oma esimestel valitsemiskuudel otsustavaid samme Eesti kaitsevõime tõstmiseks , ostes jalaväepataljonidele Iisraelist Lääne standarditele vastava relvastuse .
