collectionID	sentenceStart	changed	changes	original	short
475607	6017	0	{}	Autori kultuuriline  background  ei paistnud välja ega kumanud läbi praktiliselt mitte kusagilt .	Autori kultuuriline background ei paistnud välja ega kumanud läbi .
165101	857	0	{}	Kõige tasavägisemalt kulges neljas geim , kus tartlased juhtisid 19 : 17.	Kulges neljas geim , kus tartlased juhtisid 19 : 17 .
348665	436	0	{}	Praeguste kaameratelefonide pildikvaliteet on umbes neli korda väiksem .	Praeguste kaameratelefonide pildikvaliteet on neli korda väiksem .
83517	272	1	"{""conj_nsubj"": 1}"	Aseesimeeste valimisel sai maaliitlane Ants Käärma KMÜ hääled ( 46 ) , Tunne Kelami päralt jäid Ühinenud Opositsiooni ( 29 ) ning arenguparteilasele Krista Kilvetile peaaegu ainult erakonnakaaslaste omad ( 8 ) .	Aseesimeeste valimisel sai maaliitlane Ants Käärma KMÜ hääled ( 46 ) , Tunne Kelami päralt jäid Ühinenud Opositsiooni ( 29 ) ning arenguparteilasele Krista Kilvetile erakonnakaaslaste omad ( 8 ) .
340388	911	0	{}	Praegu on lennusalk valmis päästeoperatsioonidele välja lendama tööpäeval 15 minuti ja puhkepäeval tunni jooksul .	On lennusalk valmis päästeoperatsioonidele välja lendama tööpäeval 15 minuti ja puhkepäeval tunni jooksul .
656107	4655625	1	"{""root_nsubj"": 1, ""cop_root"": 1}"	eks see stiili kusimus vist on ( ei taha flame'i ules puhuda )	See stiili kusimus on ( ei taha flame'i ules puhuda )
370534	295335	1	"{""acl_xcomp"": 1}"	"Endale pidevalt majanduslikku tagasiteed kindlustades oli tegelikult võimatu armastust "" kätte saada "" , sest see sõnapaar oli juba iseenesest vale "" Kätte saada "" võis vaid mööblitükki või füüsikalise eksperimendi tulemust , mitte inimest ."	"Endale majanduslikku tagasiteed kindlustades oli võimatu armastust "" kätte saada "" , sest see sõnapaar oli vale "" Kätte saada "" võis mööblitükki või füüsikalise eksperimendi tulemust , inimest ."
5686	3709	0	{}	"Kui teooriat saime korralikult , siis praktika oli küll väga napp , "" kirjeldas Trestip ."	"Kui teooriat saime , praktika oli napp , "" kirjeldas Trestip ."
699752	11579	0	{}	Kuid mulle ei meeldi selline kurtmine , et “ miks see Eesti jälle vaba on ?	Kuid mulle ei meeldi selline kurtmine , et “ miks see Eesti vaba on ?
177708	2127	1	"{""aux_cop"": 1}"	Kõik sõjalise juhtimise süsteemid põhinevad käsul ja on üldiselt rajatud ainujuhtimise põhimõttele .	Kõik sõjalise juhtimise süsteemid põhinevad käsul ja on rajatud ainujuhtimise põhimõttele .
541955	2987	0	{}	Ta ei kannatagi eriti , et keegi teda õpetama kipub .	Ta ei kannatagi , et keegi teda õpetama kipub .
445124	1094	1	"{""acl_advcl"": 1}"	Selles mõttes oleks tore , kui lapsevanem on eelnevalt omandanud hariduse , saanud erialal jalad alla , teab , mida tahab , ja siis tõepoolest valibki aja lapsega kodus olemiseks .	Selles mõttes oleks tore , kui lapsevanem on omandanud hariduse , saanud erialal jalad alla , teab , mida tahab , ja valibki aja lapsega kodus olemiseks .
118905	495	0	{}	Ametiühingu survel tehti lisaettepanek : kui ettevõte teenib teisel poolaastal 11 miljonit puhaskasumit , tõuseb palk veel viis protsenti .	Ametiühingu survel tehti lisaettepanek : kui ettevõte teenib teisel poolaastal 11 miljonit puhaskasumit , tõuseb palk viis protsenti .
650149	2825	1	"{""ccomp_conj"": 1}"	Gaasiballooni võiks ohutus kohas proovida , kas nupp pole allavajutamiseks liiga jäik .	Gaasiballooni võiks ohutus kohas proovida , nupp pole allavajutamiseks jäik .
265688	1350	0	{}	Nii oli ka laupäevase programmiga .	Oli laupäevase programmiga .
122524	562	0	{}	Töö efektiivusega pole siin mingit seost .	Töö efektiivusega pole mingit seost .
59238	908	1	"{""ccomp_conj"": 1}"	Gore kiitis demokraatliku valitsuse edusamme ja teatas , et valijad peaksid endalt küsima , kas neil läheb täna paremini kui kaheksa aasta eest .	Gore kiitis demokraatliku valitsuse edusamme ja teatas , et valijad peaksid endalt küsima , neil läheb .
