COLLECTION	SPANSTART	TYPE	TEXT
482428	472	O	Selsamal ajaleheküljel on rohkem kui üks kord jutuks tulnud see , et lause või sõnad , mida peaminister või mõni teine riigitegelane välja ütles , ei väljendanud seda , mida ta mõtles ja öelda tahtis .
482428	472	S	Selsamal ajaleheküljel on kui üks kord jutuks tulnud see , et lause või sõnad , mida peaminister või mõni teine riigitegelane välja ütles , ei väljendanud seda , mida ta mõtles ja öelda tahtis .
			
222666	608	O	Rohkem kui kolmandik Tai 76 provintsist on kantud linnugripi riskitsooni .
222666	608	S	Kolmandik Tai 76 provintsist on kantud linnugripi riskitsooni .
			
542572	3446	O	Selleks on rohkem kui kaalukas põhjus : siis jääb õppetöö kindlasti soiku , on ta klassivenna näitel näinud .
542572	3446	S	Selleks on kui kaalukas põhjus : jääb õppetöö soiku , on ta klassivenna näitel näinud .
			
471718	2017	O	Praegu rendib Inko Balti Pangale panditud tootmishoones ruume õmblusfirma , kus jätkavad senist tööd pankrotistunud firmade rohkem kui 300 töötajat .
471718	2017	S	Rendib Inko Balti Pangale panditud tootmishoones ruume õmblusfirma , kus jätkavad senist tööd pankrotistunud .
			
632612	2190	O	Nagu teada , saavad rohkem kui pooled põlengutest alguse just elektrilühisest .
632612	2190	S	Nagu teada , saavad pooled põlengutest alguse elektrilühisest .
			
87831	826	O	Nõmmel saab kanaliseeritud vähem kui 60 protsenti esialgu kavandatud 100 protsendi asemel , sedagi juhul , kui linn asfalteerimise , mille praegu omal jõul teeme , enda kanda võtab .
87831	826	S	Nõmmel saab kanaliseeritud 60 protsenti kavandatud 100 protsendi asemel , sedagi juhul , kui linn asfalteerimise , mille omal jõul teeme , enda kanda võtab .
			
277706	1030	O	Siis ei hakka erakonnad kahtlustama , kas mõni neist sai rohkem kui teine .
277706	1030	S	Ei hakka erakonnad kahtlustama , mõni neist sai .
			
62556	695	O	""" Firmadel sageli polegi rohkem kui see üks laev ."
62556	695	S	""" Firmadel polegi see üks laev ."
			
614287	13778	O	Kui põletusahju köetakse üksnes vedelate ohtlike jäätmetega või selliste gaasiliste ja pulbriliste ainete seguga , mis pärinevad ohtlike jäätmete soojuslikust eeltöötlemisest hapnikuvajaku tingimustes , ja kui gaasiline osa annab rohkem kui 50% kogu vabanevast soojusest , peab hapnikusisaldus pärast põlemisõhu viimast etteannet olema vähemalt 3% .
614287	13778	S	Kui põletusahju köetakse vedelate ohtlike jäätmetega või selliste gaasiliste ja pulbriliste ainete seguga , mis pärinevad ohtlike jäätmete soojuslikust eeltöötlemisest hapnikuvajaku tingimustes , ja kui gaasiline osa annab 50% kogu vabanevast soojusest , peab hapnikusisaldus pärast põlemisõhu viimast etteannet olema 3% .
			
463021	1158	O	Ka teistest Tallinna haiglatest kinnitati , et kopsupõletikuga haiglasse tooduid pole rohkem kui igal sügisel .
463021	1158	S	Teistest Tallinna haiglatest kinnitati , et kopsupõletikuga haiglasse tooduid pole rohkem kui igal sügisel .
			
59134	525	O	Samuti ei soovitud vallaga liita rohkem kui üht omavalitsust .
59134	525	S	Ei soovitud vallaga liita üht omavalitsust .
			
665887	435	O	Maailma edetabelis asub 20aastane Tšakvetadze kuuendal kohal ning lähipäevil peaks ta sõitma Austraaliasse , kus vähem kui kuu aja pärast algab Suure Slämmi tenniseturniir .
665887	435	S	Maailma edetabelis asub 20aastane Tšakvetadze kuuendal kohal ning lähipäevil peaks ta sõitma Austraaliasse , kus kuu aja pärast algab Suure Slämmi tenniseturniir .
			
700540	536525	O	Tegelikult algab rohkem kui 60 venekeelses põhikoolis eestikeelne õpetus juba esimesest klassist , aga seda ei ole seadusega toestatud .
700540	536525	S	Algab eestikeelne õpetus esimesest klassist , aga seda ei ole seadusega toestatud .
			
